mouse kid,mouse liv
GO:0007162,GO:0009059
GO:0031667,GO:0030163
GO:0009628,GO:0033036
GO:0009895,GO:0072659
GO:0044089,GO:0019941
GO:0005975,GO:1903829
GO:0006753,GO:0045930
GO:0009056,GO:0033365
GO:0071900,GO:0051348
GO:0034470,GO:0006396
GO:0016310,GO:0008104
GO:0019725,GO:0006511
GO:0032879,GO:0042060
GO:0006468,GO:0006281
GO:0006869,GO:0044237
GO:0071495,GO:1903827
GO:0044267,GO:0070727
GO:0010563,GO:0034613
GO:0045936,GO:0051656
GO:0006397,GO:0009057
GO:0051234,GO:0006974
GO:0009894,GO:0046942
GO:0051338,GO:0006820
GO:0071310,GO:0051603
GO:0010035,GO:0034470
GO:1903530,GO:0090304
GO:0051129,GO:0007346
GO:0050678,GO:1903793
GO:0070727,GO:0043933
GO:0033674,GO:0000278
GO:0009719,GO:0051641
GO:0001558,GO:0033673
GO:0051052,GO:0016070
GO:0009991,GO:1903047
GO:0034613,GO:0051276
GO:0051174,GO:1904951
GO:0008015,GO:0033044
GO:1901576,GO:1901564
GO:0019220,GO:0044238
GO:0033554,GO:0006259
GO:0033365,GO:0051345
GO:0140352,GO:0051726
GO:0009058,GO:0032880
GO:0009117,GO:1990778
GO:0071407,GO:0006807
GO:0044093,GO:0010564
GO:0051641,GO:0010243
GO:0048871,GO:0016569
GO:0042981,GO:0006325
GO:0016070,GO:0016570
GO:0048667,GO:0071704
GO:0044249,GO:0044267
GO:0055082,GO:0006996
GO:0003013,GO:0008152
GO:0098771,GO:0044260
GO:0009314,GO:0044070
GO:0034654,GO:2001233
GO:0044237,GO:1901698
GO:0042327,GO:0051640
GO:0030029,GO:0071407
GO:0051047,GO:0051222
GO:0042325,GO:0031400
GO:0000904,GO:0022607
GO:0043549,GO:0010638
GO:0043067,GO:0072657
GO:0051046,GO:0043412
GO:0044260,GO:0016567
GO:2001233,GO:0022613
GO:1901566,GO:0010467
GO:0010941,GO:0010629
GO:0051049,GO:0070201
GO:0033043,GO:0006464
GO:0060562,GO:0036211
GO:1902532,GO:0007049
GO:0006396,GO:0044085
GO:0007010,GO:0010563
GO:0043065,GO:0045936
GO:0044238,GO:0010035
GO:0120035,GO:0045786
GO:0045860,GO:0016192
GO:1901564,GO:0033043
GO:0055085,GO:0018193
GO:0043068,GO:0009314
GO:0018130,GO:0014070
GO:0001934,GO:0060341
GO:0010638,GO:0042326
GO:0051130,GO:1902532
GO:0010562,GO:0001701
GO:0045937,GO:0032446
GO:0031344,GO:0033993
GO:0080134,GO:0051223
GO:0072657,GO:0006810
GO:0051128,GO:0043085
GO:0120036,GO:0051234
GO:0009059,GO:0019538
GO:0070887,GO:0006811
GO:0032989,GO:0043170
GO:0006807,GO:0032269
GO:0072359,GO:0009719
GO:0050801,GO:0032268
GO:0044085,GO:0009628
GO:0030030,GO:1901700
GO:0010564,GO:0051246
GO:0019538,GO:1901699
GO:0070647,GO:0090087
GO:0031346,GO:0022402
GO:0000902,GO:0071345
GO:0034641,GO:1901701
GO:0051241,GO:0032270
GO:0060548,GO:0070647
GO:0034645,GO:0034097
GO:0071704,GO:0051247
GO:0046483,GO:0043270
GO:0055080,GO:0044093
GO:0045859,GO:0031399
GO:1901700,GO:0051130
GO:0051960,GO:0051338
GO:0006996,GO:0016310
GO:0045785,GO:0031324
GO:0035295,GO:0051248
GO:0001932,GO:0080134
GO:0022607,GO:0045934
GO:0051179,GO:0060548
GO:0016567,GO:0051129
GO:0002009,GO:0051172
GO:0008152,GO:0071310
GO:0031175,GO:0040008
GO:0006139,GO:0016043
GO:0006873,GO:0050790
GO:0043603,GO:0031325
GO:0010975,GO:0070887
GO:0010033,GO:0009890
GO:0044271,GO:0071840
GO:0019438,GO:0043549
GO:0032446,GO:0051174
GO:1901360,GO:0009891
GO:0030155,GO:0006950
GO:0043066,GO:0019220
GO:0031399,GO:0031401
GO:0007017,GO:0051253
GO:0065008,GO:0042981
GO:0043069,GO:0051336
GO:0014070,GO:0043069
GO:0006725,GO:0009892
GO:0034762,GO:0051179
GO:0071345,GO:0010941
GO:0007507,GO:0051128
GO:0051247,GO:0031328
GO:0006915,GO:0031327
GO:0051093,GO:0043066
GO:0035556,GO:0042325
GO:0032270,GO:0051050
GO:0031327,GO:0043067
GO:0051726,GO:0009893
GO:0009890,GO:0051173
GO:0007167,GO:0009968
GO:0090304,GO:0045935
GO:0043170,GO:2000113
GO:0010629,GO:0042592
GO:1901362,GO:0030334
GO:0070925,GO:0010033
GO:0034765,GO:0006915
GO:0000122,GO:0010558
GO:0010558,GO:0071495
GO:2000113,GO:0010557
GO:0010942,GO:0031323
GO:0033993,GO:0080090
GO:0045934,GO:0048585
GO:0034097,GO:0010605
GO:0051172,GO:0008219
GO:0031401,GO:0009889
GO:0051246,GO:0048523
GO:0050793,GO:2000145
GO:0050790,GO:0010604
GO:0032268,GO:0031326
GO:0071840,GO:0065009
GO:0045596,GO:0051254
GO:0040008,GO:0032879
GO:0016043,GO:0010648
GO:2000026,GO:0023057
GO:0008285,GO:0019222
GO:0065009,GO:0001932
GO:0045595,GO:1903507
GO:0051253,GO:0051171
GO:0051248,GO:1902679
GO:0008219,GO:0045892
GO:1903507,GO:0048519
GO:0012501,GO:0065008
GO:1902679,GO:0010556
GO:1902531,GO:0048522
GO:0034220,GO:2000112
GO:0031324,GO:1902531
GO:0009892,GO:0019219
GO:0010605,GO:0042221
GO:0048522,GO:0048583
GO:0032269,GO:1903508
GO:0009893,GO:0045893
GO:0065003,GO:0009966
GO:0031325,GO:1902680
GO:0045892,GO:0060255
GO:0048518,GO:0048518
GO:0048666,GO:0051252
GO:0010628,GO:0010468
GO:0010467,GO:0010646
GO:0043933,GO:0023051
GO:0051239,GO:2001141
GO:0048523,GO:1903506
GO:0048646,GO:0050793
GO:0051336,GO:0006355
GO:0010648,GO:0009987
GO:0009967,
GO:0023057,
GO:0006508,
GO:0010647,
GO:0051173,
GO:0023056,
GO:0048519,
GO:0009968,
GO:0010604,
GO:0009966,
GO:0023051,
GO:0010646,
GO:0042127,
GO:0048584,
GO:0031323,
GO:0019222,
GO:0042221,
GO:0009891,
GO:0048585,
GO:0048583,
GO:0080090,
GO:0007049,
GO:0051094,
GO:0009653,
GO:0060255,
GO:0051171,
GO:0045935,
GO:0031328,
GO:0009889,
GO:0048468,
GO:0031326,
GO:0051240,
GO:0010557,
GO:0006950,
GO:0010468,
GO:0007166,
GO:0009888,
GO:0010556,
GO:2000112,
GO:0019219,
GO:0007399,
GO:0032502,
GO:0051252,
GO:0048731,
GO:0007275,
GO:0048856,
GO:0009987,
GO:0065007,
GO:0008150,
