KID,LIV
Desi2,Cc2d1b
Tsc22d3,Eif2b3
Abcg2,Marveld1
Vmn1r44,Sec61b
Cftr,Slc10a5
Cldn8,Tmem208
Pgap1,Pln
Fbxl20,Lamtor2
Dock10,Ddx3y
Bdp1,Pdia4
Ctcf,Rab40c
Wdr74,Tnfrsf1a
Zswim7,Jph3
Marveld1,Arsg
Pdia4,Cdcp1
Arsg,Yars2
Cdcp1,Psmc2
Yars2,G6pd2
Col4a4,Rab22a
Adamts12,Apon
Fam59b,Acsl5
Rab22a,Mink1
Fam84b,Ccbp2
Adra2b,Atp11a
Myo9a,Aspg
Smchd1,Adamtsl4
Npepps,Ear6
Acsl5,Stxbp4
Hsdl2,Cldn1
Aspg,Cks2
Fam134a,Fgf1
Stxbp4,Rfx1
G0s2,Etfa
Cldn1,Ppp4r4
Cks2,Tpd52l1
Fgf1,Cep97
Cd8b1,Snrnp48
Etfa,Tmem62
Fam124a,Nrbp1
Ppp4r4,Actr3
Polb,Etnk2
Snrnp48,Gckr
Vmn1r7,l7Rn6
Erp44,Zfp563
Actr3,Reps1
Etnk2,Abcb11
Lrch4,Aldoa
Ntf3,Npc2
l7Rn6,Fam134c
Zfp563,Fam195b
Fam134c,Cyth3
Rbm48,Sel1l
Ptgs1,Hapln4
Sel1l,Hoga1
Hoga1,Hdac11
Hdac11,2700062C07Rik
Cck,Ppp1ca
Slc35a4,Mtmr9
Dgkb,Nat6
Tmem198b,Apoc3
Thap2,Tmem238
Prmt3,Zfp617
Sod2,Adprh
Sox7,Thap2
Gsdma3,Prmt3
Smarcad1,Sod2
Cdc42bpg,Arhgap19
Tnfrsf14,Gpn3
Tor1aip2,Tep1
9530068E07Rik,Rpl7
Bhlhe41,Nfkb1
Syngr1,Cnst
Bloc1s5,Sub1
Ptprd,Adap2
Smg7,Tor1aip2
Mtdh,9530068E07Rik
Hnrnpd,Npas3
Atxn7l3b,Bhlhe41
Tgm2,Bloc1s5
Praf2,Ptprd
Tinagl1,Ly96
Brox,Fam171a1
Mapk14,Tdp1
Alkbh7,Tmed10
2310030G06Rik,Leap2
Ap1g1,Hnrnpd
Itga1,Prkaca
Rassf6,Atxn7l3b
4831426I19Rik,Tgm2
Trpc1,Lrp10
0610009B22Rik,Praf2
Dst,Rnf135
Gm5595,Mterf
Letmd1,Nr2c2ap
Pter,Kdm5b
Cd6,Mapk14
Clcn2,Higd2a
Tor3a,Alkbh7
Ptgfr,Ap1g1
Tbc1d13,Myst4
Upp2,Rassf6
Atp13a3,4831426I19Rik
Rbm4b,Lpar6
Stag1,0610009B22Rik
Sirt3,Dst
Myh14,Ppp2cb
Itih2,Wdr11
Gprc5b,Chaf1b
Snd1,Letmd1
Adcy4,Pter
Papd7,Zscan21
Ablim2,Tor3a
Slc38a3,Upp2
Gm6505,Egr1
Arhgap12,Sirt3
Tlr2,Itih2
Mtmr4,Lcp2
Armcx4,Snd1
Pla2g4d,Papd7
Tsen15,Dap
Nusap1,Slc38a3
Ttc32,2010011I20Rik
Ptgfrn,Gpi1
Atf1,Mtmr4
Glrx,Fam160b1
Tsga14,Tsen15
Sytl5,Ankrd13a
Nudt22,Smarce1
Pot1a,Nusap1
Sars2,Epsti1
Sec61a1,Grlf1
Ift80,Bmp7
Stk40,Pex10
Rasgrp1,Aktip
Pgm2,Glrx
Trp53bp2,Tsga14
Mogat2,Zrsr2
Anxa3,Mzt1
Crebl2,Acadsb
Prnp,Nudt22
Fbxl21,Pot1a
0910001L09Rik,Sec61a1
Olfr1394,Ift80
Erbb2ip,1810013L24Rik
Ppp2ca,Stk40
Entpd5,Pgm2
Gdap1,Trp53bp2
Reps2,Dars2
Col4a3bp,Palld
Gpam,Galnt13
Cdkl4,Cadps
Aqp8,Arl4a
Nt5dc1,Crebl2
Trim11,Gak
Lclat1,Prnp
Yeats4,Fbxl21
Rasip1,Shq1
Tanc2,Rhoa
Ndel1,Erbb2ip
Fkbp7,Rnf19b
4930402H24Rik,Col4a3bp
Slfn4,Arhgap23
Plec,Hal
Fndc3b,Tmem184c
Med1,Gpam
St3gal4,Aqp8
Men1,Alg11
Gsta4,Bag4
Ddc,Lclat1
Mtr,Rps18
Cbr4,Cdv3
Dnahc9,Wdr37
Sppl2b,Yeats4
Mreg,Mtfmt
Rdh11,H2-T23
Meis1,Ndel1
Hdac2,Fkbp7
Ctnnb1,4930402H24Rik
Shank3,Plec
Cmip,Fndc3b
Cd47,St3gal4
Kpna3,Arl5b
Klf9,Men1
Nek2,Gsta4
2210011C24Rik,Ifi47
Efhd1,Top3b
Tex2,Vrk1
BC025920,Itpk1
Zfp295,Elac2
Plxnc1,Ddc
Uba5,2810432D09Rik
Frk,Zfp821
Pdk4,Sppl2b
Kif3b,Mreg
Skiv2l,Rdh11
AB041803,Meis1
Itfg1,Hddc2
Thoc1,Cmip
Xbp1,Cd47
Afap1l2,Klf9
Msto1,Txn2
Mfhas1,Lrpprc
Dock1,BC032203
Fyn,Tex2
Fermt2,Zfp295
Slc12a2,Pip4k2b
Nipa1,Plxnc1
Tapt1,Lgals9
3110052M02Rik,Frk
Kif27,Pdk4
Nanp,Ptpn9
Pik3r3,Pld6
Hmgxb4,Ccdc94
Itm2b,Skiv2l
Fmo4,Rimkla
Ppme1,Ufsp2
Porcn,Fut8
Polr1d,AB041803
Tmem50a,Arpp19
Samd9l,Mfhas1
Hao2,Cops6
Gata1,Srrm2
Sdc2,Dnajc24
Uba6,Mprip
Atp1b4,Lin7c
Tia1,Fermt2
Art3,Slc12a2
Tmie,Phf12
Kcnt2,Bud13
Gja1,Kpna4
Nhp2,Junb
Mchr1,Nipa1
Ptp4a2,Tapt1
Gm8258,Metap1d
Hnrnpa3,Nanp
Mthfr,Pik3r3
Ndrg3,Hmgxb4
Zfp26,Porcn
Hey1,Tmem50a
Sec11a,Slu7
Egflam,Nfkbia
Map2k6,Samd9l
Phldb1,A230050P20Rik
Rdh7,Vkorc1l1
Slc41a1,Rmi1
1110059G10Rik,Sdc2
Gabpb1,Plekha3
Ppp2r2b,Uba6
Car9,Cyb5r1
Pou6f1,Ankrd44
Eef1b2,Tmie
Irak2,Adck1
Tnfsf15,Mmab
Dcaf8,Cyr61
Selk,Zc3h12d
Arhgap24,Mthfr
2700094K13Rik,Zfp26
Dhdh,Serpinc1
Dusp19,Tox
Tgm7,Sec11a
Thbs1,Map2k6
Arhgap27,Akr1c6
Otx1,Rdh7
Abca9,Gabpb1
Synrg,Zfyve1
Naprt1,Pir
Pole4,Trap1
Creld2,Pou6f1
Nup160,Trip6
Ints9,Eef1b2
Kcnh1,Irak2
Acad11,Bhmt2
Myo5c,Dcaf8
Aqp6,Selk
Spred3,Arhgap24
Ahctf1,Nepn
Trip12,Dhdh
Pfn2,Dusp19
Swi5,Phlda2
Bzw1,Thbs1
Sox12,Tigd2
Dnase1,Mtfp1
Hint3,Alyref
Hsp90aa1,Stx6
Entpd7,Synrg
Elmo3,Naprt1
Hexim1,Pole4
Slc25a46,Creld2
Lancl3,Cbfb
Ccdc132,Rprd1b
Slc35b1,Pcbp2
Ept1,Ints9
Hdac4,Rbl2
Rdh8,Rassf8
Pcnxl4,Rictor
Xpo1,Tymp
Ceacam1,Ahctf1
Acox3,Phkb
Adh1,Tmem43
Mtrr,6430573F11Rik
Arf1,Arpc5
Tnxb,Secisbp2
Pdxk,Abt1
Prpf39,Tpst2
Tmtc1,Neil1
Srp68,Fam63a
Rbm25,Rab32
H1f0,Dynlrb1
Klf15,Myo1c
Pkd1,Hsd3b7
Mrpl10,Cbr1
Rin2,Snrpn
Tsen34,Nudt3
Skil,Nod1
Atxn7l2,Gprasp1
D630039A03Rik,Hint3
Rps12-ps3,Hsp90aa1
Tnfrsf21,Elmo3
Kansl3,Hexim1
Zfp467,Gpd1
1700112E06Rik,Slc25a46
Tmem8,Slc35b1
Mmp14,Ube2u
Sntb1,Ept1
B4galnt3,Zscan20
Fgd4,Xk
Mrps6,Cdh4
Atp6v1h,Ppp1r3g
Hba-a1,Mgea5
Kcnj1,Pcnxl4
Il4ra,Orai1
Cox10,Xpo1
Ywhag,Ceacam1
Tgm1,Akr1c20
Prr12,Adh1
Cdc20b,Krt20
Pak6,Rin3
Gprin3,Trim14
Pgm3,Mtrr
Brf2,Arf1
Chd9,Pdxk
Mcm10,Ing4
Lgmn,Tmtc1
Antxr2,Fbxo31
Cdk2ap1,Rbm25
Tfec,Prkd2
Cdc73,H1f0
Ksr2,Klf15
Exoc1,Fubp3
Rbm45,Tmem14c
Tubb2a,Mrpl10
Tnfsf12,Kctd12b
Hist2h4,Rin2
Calr,Tsen34
Rps20,Skil
Aacs,2310033P09Rik
Lfng,Flrt2
Nuak1,Ankrd28
Nt5e,D630039A03Rik
Galnt11,Bap1
Pomgnt1,Setdb1
Hmx1,Anpep
Celf1,Zmat2
Vmn1r19,Tmem8
Ppp6r3,Sntb1
Lass4,Serpinb1a
Snx6,B4galnt3
Pskh1,Fgd4
Usp15,Sdccag8
Ifrd2,Bsg
5730419I09Rik,Mrps6
Acot11,Nr0b2
4930432K21Rik,Hba-a1
Rap2c,Il4ra
B3galnt2,Cox10
Fcgr2b,Ercc3
Entpd8,Ywhag
1700104B16Rik,Pnpla8
Tesk2,Agpat6
Zfp35,Eml4
Zmym6,Tgm1
Serp1,Dpf3
Usp46,Smpd4
Dennd1b,Gprin3
Aip,43164
Bphl,Brf2
Gatsl3,Hspa8
Pde8a,Cstf2t
Osbpl9,Chd9
Erc2,Mcm10
Ptplad1,Leprotl1
3010026O09Rik,Grik5
Efemp1,Prkar1a
Nfxl1,Scmh1
Nars,Antxr2
Akr1c14,Cdk2ap1
Pms1,Mat1a
Peg3,Vps37b
Gmcl1,Pex11c
Papola,Rwdd4a
Rbm3,Tfec
Plscr2,Snrpc
Pa2g4,Mrpl33
A630007B06Rik,Crim1
Slc16a1,Exoc1
Ddx17,Rbm45
Acss3,Tubb2a
Ube3b,Nadk
Sf3b3,Myeov2
Sec61a2,Tnfsf12
Pmpcb,Hist2h4
Gstm4,Calr
Heatr5a,Aacs
Gps2,Gvin1
Cda,Nt5e
AA960436,Rd3
H2-Q6,Ppp6r3
Zfp788,Dact2
Gramd4,Snx6
Fez2,Colec10
Cutc,Rpl28-ps4
Col27a1,Gm4953
Spata30,Sphk2
Slc1a2,Prim2
Aspa,Eif2c2
Arhgef33,Tmem102
Slc35c1,Ifrd2
Rplp1,Acot11
Snx13,Abcg8
Bcar3,Myo6
Abcc1,Sar1b
Apex1,B3galnt2
Arl6ip1,Fcgr2b
Atp9b,Dlat
Fmn1,Entpd8
Wdr62,Cyp4f14
Mtcp1,Zmym6
Ccr2,Serp1
Stx7,Usp46
4930505A04Rik,6530401N04Rik
Fis1,Ccdc6
Kif16b,Bphl
Lrrk2,Erc2
Mpp6,Dnajc10
Pikfyve,Gnas
Morf4l2,Hsd11b1
Ccbl1,3010026O09Rik
Vgll3,Ccdc130
Cxxc5,Akr1c14
Haus1,Pms1
Ncor1,Tbc1d24
Dgcr8,Peg3
4732418C07Rik,Akap13
Tmem181a,G6pdx
Npas2,Rbm3
Sema3d,H60b
Nub1,Pfkl
Add3,Lta4h
Myo10,Mrpl30
Bet1l,Cacna2d1
Skiv2l2,Wdr33
Malt1,Slc16a1
Ifngr1,Trabd
Slco2b1,Gm7293
Tacstd2,Trub1
Lilrb3,Ddx17
Jam2,Acss3
Fggy,Brk1
Myef2,Lcn12
Hspbp1,3200002M19Rik
Elovl7,Laptm5
Cab39,Sf3b3
Terf1,Pigr
Slc7a4,Gstm4
Lmbrd2,Wdr76
Nfic,Irgq
Fzd1,Rbm22
Wnt5b,Ddx28
Phf5a,Mnd1
Exph5,Heatr5a
Ppm1e,Gps2
Vps41,Cda
Dbp,Fam73b
Fastkd1,H2-Q6
Nek4,Dbf4
Rnf167,9030612E09Rik
Arhgap17,Tmem242
C330021F23Rik,Gramd4
Slc43a3,Mul1
Otop3,Lrp11
Ache,Mtmr7
Sash1,Cutc
Rtl1,Col27a1
Wapal,Mrpl24
Gtl3,Slc1a2
Sdhaf1,1600012H06Rik
Unc5c,Aspa
Cited2,Ptprf
Slc7a8,Cenpb
Dusp7,Slc35c1
Myof,Pml
Ceacam20,Hs1bp3
A530016L24Rik,Rab20
Krt80,Ftsj1
Ndufaf1,Bcar3
Hdac1,Arl3
Dctn5,Apex1
2700049A03Rik,Bzw2
1810011O10Rik,Arl6ip1
Mkl2,Mtcp1
Tomm40l,Zdhhc16
Igsf8,Rad21
Hsd17b14,Lmf1
Prdm1,Stx7
Hmgb2,Tec
Hspa12a,Ppp1r3c
Tmem184a,St3gal5
Slc33a1,Fam193a
Olfr920,Dlgap2
Fgfrl1,Ccdc90b
Hspb1,Dnajc14
Pik3cb,Lrrk2
Abcd2,Dck
Akap11,Ssfa2
Nav2,Inpp5e
Chmp5,Morf4l2
43165,Ccbl1
Adhfe1,1810019J16Rik
6720456H20Rik,Cxxc5
Ppm1h,Vps51
2410002O22Rik,Tlr8
Cadm1,Tmem216
Fech,C77080
Afmid,Tmem181a
Dpagt1,Npas2
Bmp2,A230046K03Rik
Etfb,Lepre1
Clrn3,Tctn2
Calr3,Marcksl1
Dap3,Cox5a
Stt3b,Malt1
Wee1,Slco2b1
Ano8,Gm10768
Ube3c,Gpr180
Mrpl51,Mospd3
4931414P19Rik,Csrp3
Samd8,Myef2
8430410K20Rik,Pdhb
Tgif1,Zfp512
Endod1,Hspbp1
Tfap2a,Nfic
Arntl,Sema5a
Adamts16,Wnt5b
Arl2bp,Ofcc1
Fam98a,Phf5a
Kdelr1,Exph5
Myh10,Olfr798
P4ha1,Dexi
Rps25,Cd52
Irf6,Hbs1l
Spen,Vps41
Pigo,Cad
Rnf213,Dbp
Tob2,Setd1b
Ncoa4,Nek4
Dnajc7,Rnf167
Zfp449,C330021F23Rik
Atad2,Bai3
Fam179b,Sash1
Myom2,Fbxl15
Apln,Nacc1
Mfap3,Trp53
Tmem92,Zbtb7a
Rnpep,Sdhaf1
2510009E07Rik,Nhej1
Mst1,Cited2
Eri2,Slc7a8
Tuba1b,Dusp7
Wdr1,Myof
BC005624,Ndufaf1
Ints2,Nhsl1
Zfand5,Dctn5
Cdk17,1810011O10Rik
Ttyh3,Mkl2
Eri1,Igsf8
Zfp959,Caskin2
Cstf3,Prss43
Srebf2,Tmem184a
Eci2,Ankrd54
Glb1l3,Slc33a1
Ehd2,Arl10
