SAMPLE2,SAMPLE6
YDR210C-D,YDR432W
YDR210W,YDR433W
YDR211W,YDR437W
YDR212W,YDR438W
YDR213W,YDR440W
YDR214W,YDR441C
YDR217C,YDR444W
YDR218C,YDR448W
YDR219C,YDR449C
YDR221W,YDR450W
YDR223W,YDR451C
YDR224C,YDR453C
YDR225W,YDR454C
YDR226W,YDR457W
YDR231C,YDR458C
YDR232W,YDR459C
YDR233C,YDR461C-A
YDR234W,YDR461W
YDR235W,YDR462W
YDR237W,YDR464W
YDR238C,YDR465C
YDR239C,YDR466W
YDR240C,YDR469W
YDR242W,YDR470C
YDR243C,YDR471W
YDR244W,YDR472W
YDR245W,YDR478W
YDR246W,YDR480W
YDR246W-A,YDR482C
YDR247W,YDR483W
YDR248C,YDR484W
YDR249C,YDR485C
YDR251W,YDR487C
YDR252W,YDR489W
YDR253C,YDR492W
YDR256C,YDR493W
YDR257C,YDR494W
YDR258C,YDR496C
YDR259C,YDR497C
YDR260C,YDR499W
YDR261C,YDR500C
YDR261W-B,YDR501W
YDR262W,YDR502C
YDR263C,YDR503C
YDR264C,YDR506C
YDR266C,YDR507C
YDR267C,YDR508C
YDR268W,YDR511W
YDR273W,YDR513W
YDR276C,YDR514C
YDR277C,YDR515W
YDR279W,YDR520C
YDR280W,YDR522C
YDR281C,YDR523C
YDR282C,YDR524C
YDR284C,YDR524C-B
YDR285W,YDR525W-A
YDR286C,YDR527W
YDR288W,YDR528W
YDR291W,YDR529C
YDR292C,YDR531W
YDR293C,YDR532C
YDR294C,YDR533C
YDR295C,YDR534C
YDR296W,YDR538W
YDR297W,YDR541C
YDR298C,YEL001C
YDR299W,YEL004W
YDR300C,YEL005C
YDR301W,YEL006W
YDR302W,YEL008W
YDR304C,YEL011W
YDR305C,YEL015W
YDR307W,YEL016C
YDR308C,YEL017W
YDR309C,YEL018W
YDR310C,YEL019C
YDR311W,YEL020C
YDR312W,YEL020W-A
YDR313C,YEL021W
YDR315C,YEL022W
YDR316W,YEL023C
YDR317W,YEL024W
YDR320C-A,YEL026W
YDR321W,YEL027W
YDR322C-A,YEL028W
YDR322W,YEL029C
YDR324C,YEL030W
YDR326C,YEL031W
YDR328C,YEL036C
YDR329C,YEL038W
YDR330W,YEL039C
YDR331W,YEL040W
YDR333C,YEL041W
YDR334W,YEL042W
YDR337W,YEL044W
YDR339C,YEL046C
YDR340W,YEL048C
YDR341C,YEL049W
YDR342C,YEL050C
YDR343C,YEL052W
YDR345C,YEL053C
YDR346C,YEL053W-A
YDR347W,YEL054C
YDR348C,YEL055C
YDR349C,YEL057C
YDR351W,YEL059C-A
YDR352W,YEL060C
YDR353W,YEL061C
YDR357C,YEL063C
YDR358W,YEL065W
YDR359C,YEL066W
YDR361C,YEL067C
YDR362C,YEL071W
YDR363W,YEL072W
YDR363W-A,YEL074W
YDR364C,YEL077C
YDR365C,YER001W
YDR367W,YER002W
YDR368W,YER003C
YDR369C,YER004W
YDR370C,YER005W
YDR371W,YER006W
YDR372C,YER007C-A
YDR375C,YER009W
YDR376W,YER010C
YDR378C,YER012W
YDR379C-A,YER013W
YDR379W,YER015W
YDR381C-A,YER016W
YDR381W,YER017C
YDR382W,YER019C-A
YDR384C,YER019W
YDR385W,YER020W
YDR387C,YER023W
YDR391C,YER024W
YDR392W,YER025W
YDR393W,YER026C
YDR394W,YER027C
YDR395W,YER028C
YDR397C,YER030W
YDR398W,YER032W
YDR399W,YER034W
YDR400W,YER035W
YDR403W,YER036C
YDR404C,YER037W
YDR405W,YER038C
YDR407C,YER038W-A
YDR408C,YER039C
YDR409W,YER039C-A
YDR410C,YER041W
YDR412W,YER043C
YDR414C,YER044C-A
YDR415C,YER045C
YDR416W,YER046W
YDR418W,YER048C
YDR419W,YER048W-A
YDR420W,YER049W
YDR421W,YER050C
YDR427W,YER052C
