Human_blood,Human_muscle
FBLN2,OFD1
FBRSL1,OGFRL1
FBXO21,OGG1
FBXO31,OGT
FBXO33,OMA1
FBXO38,OPA1
FBXO7,OSBPL6
FBXO9,OSGEPL1
FCGR3A,OTUD1
FDPS,P4HA1
FERMT2,PABPC4
FGB,PABPN1
FGF10,PACSIN3
FGF12,PAIP1
FGF14,PAK1
FGF2,PANK4
FGF21,PAOX
FGF7,PAQR3
FGF9,PARD3
FGFR1OP2,PARN
FGG,PATL1
FGL2,PBRM1
FHL3,PCBD1
FHOD1,PCBP1
FIBIN,PCDH1
FIG4,PCF11
FILIP1L,PCGF5
FITM1,PCID2
FLJ45445,PCIF1
FLRT2,PDCD2
FLT3LG,PDCD5
FMOD,PDHA1
FNBP4,PDIK1L
FNDC4,PDK1
FOXI3,PDS5B
FOXN1,PDZD11
FOXS1,PDZD2
FPR3,PELI2
FRK,PELO
FSHB,PER1
FSIP1,PER2
FUCA1,PER3
FURIN,PFAS
FUT10,PFKP
FUT11,PGRMC2
FUT3,PHF17
FUT9,PHF6
FXYD3,PHTF2
FYB,PIGF
FZD10,PIGM
G0S2,PIGV
G3BP1,PIK3IP1
GABRA2,PLA2G3
GABRB2,PLA2G4A
GABRG1,PLD6
GABRR3,PLEKHA1
GAL3ST1,PLEKHA2
GALNT3,PLEKHA5
GAPDHS,PLK1S1
GARS,PLLP
GAS1,PLSCR3
GAS2L2,PML
GBGT1,PMS1
GCG,PNKP
GDAP1,PNPLA1
GDAP1L1,PNPLA8
GDAP2,POFUT2
GDE1,POGZ
GDEP,POLA1
GDF9,POLE4
GDI1,POLR3B
GEMIN5,POMT1
GET4,POP1
GFAP,POP5
GFER,PPARD
GFRA3,PPID
GGA3,PPM1A
GH2,PPM1F
GHRHR,PPME1
GINS2,PPP1R12A
GINS4,PPP1R3D
GIPC1,PPP2R5A
GIPC2,PPP3CB
GJD3,PPTC7
GKN1,PQLC3
GKN2,PRDM10
GLB1,PREPL
GLDC,PRKRIR
GLIS2,PRLR
GLIS3,PRMT2
GLT8D2,PRMT3
GLUD2,PROSC
GM2A,PRPF40A
GMIP,PRPS2
GNA13,PRPSAP1
GNL2,PRR5L
GON4L,PSAT1
GOSR2,PSENEN
GOT1,PSMG2
GPATCH4,PSPC1
GPC4,PTGER4
GPI,PTGS1
GPIHBP1,PTP4A1
GPN1,PTPDC1
GPR107,PTPN1
GPR125,PTPN13
GPR126,PTPRA
GPR137,PTPRE
GPR142,PTPRK
GPR143,PUS10
GPR27,PVRL1
GPR3,QSER1
GPR37,RAB22A
GPR56,RAB2A
GPR6,RAB3GAP2
GPR78,RAB40C
GPR83,RAB5A
GPX4,RAB7A
GPX7,RAB7L1
GRAMD1B,RAB8B
GRAMD1C,RABL5
GRHPR,RAD18
GRID1,RAD50
GRIK3,RAI1
GRIN3B,RANBP6
GRINA,RANBP9
GRK4,RASSF5
GRM3,RBAK
GRM7,RBBP9
GSG1L,RBM12
GSTA2,RBM14
GSTM3,RBM27
GSTP1,RBM33
GSTZ1,RBM4
GTF2E2,RBM4B
GTF2H4,RBM5
GTF3C1,RBMX
GTPBP1,RCBTB2
GTPBP2,RCCD1
GTPBP8,RDH12
GUCA2A,REL
GUCY2D,REPS2
GUF1,RFESD
GUSBP1,RFX5
GYPA,RFXAP
GZMB,RG9MTD2
GZMK,RIC8B
H3F3A,RIMS3
H3F3B,RIOK2
HABP2,RIPK3
HADHB,RLF
HAPLN3,RMND5B
HARS,RNASEL
HAS3,RNF111
HAUS7,RNF13
HAUS8,RNF144B
HAVCR1,RNF146
HBQ1,RNF220
HBZ,RNFT1
HCCS,RORC
HCK,RPA2
HCST,RPRD1A
HDAC10,RPS6KB1
HDGFRP3,RRAGB
HECTD2,RRM2B
HECW1,RSBN1
HELLS,RSPH4A
HES2,RSPH6A
HES5,RTF1
HEXIM2,RUFY3
HHIP,SACS
HIBADH,SAFB
HINT2,SAMD4A
HIPK1,SARNP
HIST1H1D,SASH1
HIST1H2AA,SC4MOL
HIST1H2AB,SCFD2
HIST1H3A,SCLT1
HIST1H4K,SDC4
HIST1H4L,SDF2L1
HIST3H2BB,SDR39U1
HIVEP1,SEC13
HLA-C,SEC24B
HLA-DRB5,SEL1L
HMGA1,SEMA4D
HMGB4,SEMA4F
HMHB1,SERPINH1
HMX2,SERTAD2
HNF1B,SETDB2
HOXA2,SETMAR
HOXA4,SF1
HOXB9,SF3A3
HOXC6,SFPQ
HOXC9,SFXN1
HRC,SH3BP5
HRH4,SH3RF2
HS3ST1,SHKBP1
HS6ST1,SHOC2
HS6ST2,SIK1
HS6ST3,SIKE1
HSBP1L1,SIRT2
HSCB,SKAP2
HSF2BP,SKP2
HSF4,SLBP
HSF5,SLC12A6
HSP90AA4P,SLC20A2
HSP90AB6P,SLC22A23
HSPA12A,SLC24A1
HSPB6,SLC25A13
HSPB8,SLC2A1
HSPD1,SLC2A12
HTATIP2,SLC35A2
HTR2B,SLC35B3
HTR2C,SLC35F2
HTR6,SLC38A9
HTRA1,SLC39A10
HVCN1,SLC41A1
ICAM2,SLC43A1
ICOSLG,SLC43A3
IFI16,SLC5A6
IFI27,SLC6A6
IFI44,SLC7A1
IFIT5,SLTM
IFNA10,SLU7
IFNG,SMARCAL1
IFT122,SMARCD2
IFT20,SMTN
IGSF10,SNAPC1
IGSF11,SNHG12
IGSF5,SNHG7
IL10RA,SNRK
IL12RB2,SNRPD3
IL15RA,SNTB2
IL27RA,SNX9
IL29,SOCS2
IL3,SOCS6
IL6,SP2
IL6R,SP4
IMPA1,SPPL3
INA,SPRYD4
INO80,SPSB3
INTS4,SPTLC2
INTS8,SQLE
INTU,SRBD1
IQCF3,SRD5A1
IQSEC2,SRD5A3
IREB2,SRF
IRF2BP1,SRI
IRF2BP2,SRRT
IRF3,SSBP2
ISCA2,SSH1
ISLR2,SSU72
ISOC1,ST3GAL2
ITFG2,STAG3L2
ITGA2B,STAR
ITGA3,STARD7
ITGA5,STAT2
ITGAD,STK10
ITGB5,STK24
ITGB7,STK35
ITK,STK38
ITM2A,STOM
JAM3,STOX1
JAZF1,STRBP
JMJD5,STX4
JRKL,STXBP5
JUN,SUB1
JUND,SULT1E1
KALRN,SUMO2
KATNAL1,SUPT7L
KBTBD4,SVIL
KBTBD5,SYNCRIP
KBTBD8,SYNJ1
KCNB2,SYNJ2BP
KCNC3,SYT17
KCND2,SYVN1
KCNF1,TAF10
KCNH1,TAF9B
KCNH6,TANC1
KCNH7,TANK
KCNJ10,TARDBP
KCNK4,TARS
KCNMB3,TBC1D10A
KCNN3,TBC1D15
KCNRG,TBK1
KCNS2,TBXAS1
KCTD13,TCEAL4
KIAA0391,TCF3
KIAA0564,TCOF1
KIAA0895,TCTEX1D2
KIAA1161,TDRKH
KIAA1244,TEF
KIAA1530,TEP1
KIAA1549,TERF2
KIAA1704,TESK2
KIAA1737,TFCP2
KIAA2022,THADA
KIAA2026,THAP11
KIF13A,THAP6
KIF17,THAP8
KIF1C,THBD
KIF26B,THRAP3
KIF7,TIGD7
KIFC1,TLK1
KIFC2,TLK2
KIR2DL4,TMCC3
KIR3DL1,TMCO3
KLF15,TMCO7
KLF16,TMED10
KLHDC5,TMED7
KLHDC7A,TMEM106C
KLHL10,TMEM116
KLHL2,TMEM117
KLHL21,TMEM123
KLHL3,TMEM154
KLHL30,TMEM165
KLRK1,TMEM167A
KPTN,TMEM168
KRAS,TMEM218
KRT28,TMEM39B
KRT5,TMEM55A
KRT80,TMEM97
KRT82,TMF1
KRT86,TMOD2
KRTAP1-1,TNKS2
KRTAP12-1,TP53BP1
KRTAP13-4,TP63
KRTAP17-1,TPR
KRTDAP,TPST2
LACTB2,TRA2A
LAMA4,TRA2B
LAMC2,TRADD
LANCL2,TRAK1
LARP1B,TRAPPC10
LASS2,TRAPPC6B
LASS5,TREX1
LAX1,TRIM27
LCE2D,TRIM29
LCE3A,TRIM35
LCK,TRIM5
LECT2,TRIM52
LENEP,TRIM56
LGR6,TRIM8
LHFPL5,TRIOBP
LHPP,TRMT2A
LHX4,TROVE2
LIG3,TRPM7
LILRB1,TSC22D3
LILRB2,TSEN2
LIMD1,TSHZ1
LIMK1,TSNAX
LIN54,TSPAN31
LITAF,TSPAN9
LMAN1,TSSC1
LMF2,TTC14
LOC100127951,TTC27
LOC100129434,TTC35
LOC100129827,TTC9
LOC100132005,TUBB
LOC100132832,TUBB2C
LOC100268168,TUBG1
LOC200261,TUBGCP3
LOC200726,TXNRD3
LOC221710,UBC
LOC285456,UBE2G2
LOC389834,UBR3
LOC399491,UBR5
LOC493754,UEVLD
LOC643406,UGDH
LOC644538,UNC50
LOC646627,UNKL
LOC646938,UPF3B
LOC650293,USP46
LOC728613,USP8
LONRF2,USPL1
LOXL3,UTP15
LPAR2,VAMP3
LPHN3,VCL
LPL,VDAC3
LPPR2,VDR
LRIG1,VEGFB
LRP4,VEZT
LRRC1,VPS53
LRRC16B,WBP11
LRRC48,WDFY2
LRRC59,WDR12
LRRC61,WDR20
LRRTM4,WDR26
LSM1,WDR47
LSM12,WDR5B
LSP1,WDR7
LTA,WDR77
LTBP4,WDSUB1
LTF,WIBG
LUC7L3,WLS
LY6G5C,WNK1
LY6G6F,WNT2B
LYZL6,XPO1
LZIC,XPR1
MAD2L1BP,XRN2
MAG,YPEL5
MAGEB18,YRDC
MAK16,YWHAH
MAN2A1,ZBTB16
MAP1S,ZBTB2
MAP2K2,ZBTB40
MAP2K7,ZBTB43
