CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,0,3,6,9,12,15,18,21
Cre02.g096650,0.592350027,0.6843536,21,18,0.037120702,0.4290414,0.56429947,20,17.11429217,0.09991706,0.602282435,0.723925686,20.5,17.55678902,0.076570441,0.039146567,0.039146567,0.1215565,0.07446385,0.04453105,0.0587393,0.04868435,0.1201426,0.08666505,0.0829419
Cre02.g096700,1,1,21,4.5,0.328366954,0.963874895,1,28,8.253512474,1.482589402,0.999339486,1,24.5,6.235911707,1.411365535,0.164585776,0.116614563,1.996775,1.194235,1.39427,1.846035,0.799917,1.341105,1.30751,1.39817
Cre02.g096737,0.087651174,0.120191971,24,1.5,0.252625388,0.324435685,0.452082051,27.47663551,7.74E-05,0.993986885,0.129675145,0.179668634,25.73831776,0.804358665,0.664205457,0.220494608,0.220494608,1.046716,0.736274,0.992464,0.369624,0.3604675,0.628982,0.46525,0.62119
Cre02.g096750,0.010037898,0.017616642,24,7.5,2.877351843,0.177938594,0.285183431,23.1496063,8.967386251,9.81593597,0.013088228,0.022379787,23.57480315,8.249609665,6.599419667,2.24583053,0.340307276,7.694415,4.48774,9.980045,8.34886,9.512835,4.42945,3.60189,4.470385
Cre02.g096800,0.010037898,0.017616642,24,4.5,0.24313354,0.118910124,0.213338752,23.52,4.342455378,1.12540785,0.009227512,0.016410807,23.76,4.420883074,0.800786216,0.259979292,0.259979292,0.905122,1.0676,1.1382655,0.8238065,0.4279355,0.76942,0.5628135,0.712112
Cre02.g096850,9.27E-05,0.000440158,24,15,3.712084327,0.032558418,0.106137807,22.67352185,12.94791259,10.97738869,4.14E-05,0.000196486,23.33676093,13.95606831,6.52095419,4.907778884,0.752616679,2.906235,2.74353,4.644395,6.717555,13.6782,8.01337,8.91696,3.8821
Cre02.g096900,0.000322032,0.0010662,24,18,0.477946378,0.03550758,0.108776004,25.56521739,16.92661508,1.503144858,0.000141547,0.00049042,24.7826087,17.49770496,1.051458603,0.417941435,0.397487294,0.683356,0.8403465,0.2956205,0.964355,1.306485,1.43153,1.537995,1.32946
Cre02.g096950,0.000322032,0.0010662,21,15,2.431880475,0.010093126,0.101644165,22.79069767,14.83376152,4.146105578,4.43E-05,0.000206059,21.89534884,14.94527074,1.85739177,2.250679005,1.21174167,0.269803,0.02865765,0.011211275,1.49884,3.998345,3.7894,3.52098,1.2752565
Cre02.g097000,0.010037898,0.017616642,21,19.5,0.472442082,0.534433326,0.670080526,28,16.26358728,1.348575867,0.033410305,0.05199957,24.5,18.49031944,1.625728649,2.493983971,1.534071489,5.655005,1.154955,0.6563315,0.569825,1.06147,1.394765,1.22328,1.094185
Cre02.g097050,4.69E-05,0.000274494,24,15,14.67285462,0.011661461,0.101644165,22.32911392,12.98617354,35.45947693,8.43E-06,6.77E-05,23.16455696,13.97494944,21.4777782,15.69601069,0.730802346,10.963,8.930065,8.85441,30.68665,32.247,35.33065,27.7425,14.43235
Cre02.g097100,0.00266115,0.005726238,24,15,7.284382482,0.018720719,0.101644165,22.10526316,12.86466615,17.08022416,0.000543378,0.00142795,23.05263158,13.91195186,10.35876414,7.509313957,0.724923732,5.24064,5.40233,3.308765,15.35775,15.40195,16.62325,13.7147,6.36673
Cre02.g097150,0.119401804,0.158559137,21,18,0.763491476,0.1832497,0.291462042,20.95011876,18.79788472,3.256210257,0.105510667,0.149152368,20.97505938,18.39944274,2.805011806,0.597536124,0.213024459,3.69027,2.064475,2.13133,2.753935,2.439765,3.474645,3.06051,3.255245
Cre02.g097200,0.026964319,0.042899959,21,13.5,0.063076117,0.155614514,0.258352178,20,10.09938887,0.158178214,0.02716354,0.043104041,20.5,11.76522251,0.068454481,0.07263382,0.07263382,0.00823835,0,0.01674935,0.205247,0.1340955,0.04841385,0.0230547,0.0343981
Cre02.g097213,0.744901443,0.846629461,24,7.5,0.01461572,0.981359506,1,28,5.803277234,0.373344069,0.960057918,1,26,6.756878716,0.288160658,0.038844726,0.038844726,0.3136525,0.280664,0.388433,0.3685555,0.15090815,0.380332,0.211109,0.227833
Cre02.g097227,0.00097863,0.002519158,24,21,2.390904097,0.01477153,0.101644165,24.29752066,20.99992264,5.265881195,0.000175558,0.000578378,24.14876033,21.00075849,2.772906954,2.25247546,0.812315558,4.36977,2.11775,0.694737,0.834615,0.771056,4.11329,3.748475,5.42846
Cre02.g097250,0.00266115,0.005726238,21,10.5,0.506465232,0.169851591,0.275484945,20,9.117862082,3.733631269,0.003933231,0.007772825,20.5,9.797904317,2.686569269,0.838163712,0.311982915,1.711805,2.08948,2.49519,4.400945,2.991955,2.1063,2.635745,2.11811
Cre02.g097300,0.000176005,0.000685626,21,15,3.75031052,0.017448666,0.101644165,21.56479218,14.47175474,8.274896711,4.21E-05,0.000198833,21.28239609,14.74197758,4.615219602,3.80638455,0.82474614,2.622145,1.460175,1.43737,3.75526,9.19255,6.95582,7.131435,3.28103
Cre02.g097400,1.04E-05,0.000101526,24,3,178.7516445,0.012960965,0.101644165,23.39522546,7.74E-05,837.3744717,2.26E-06,2.86E-05,23.69761273,1.481139978,651.5546252,206.0890206,0.316303519,818.3845,848.886,688.8795,570.0305,514.669,425.1945,587.3655,774.626
Cre02.g097450,0.00097863,0.002519158,24,21,1.37324026,0.036148042,0.109457954,25.2722063,20.99992264,8.153870655,0.000397957,0.001108579,24.63610315,21.01397171,6.354650005,1.410550466,0.221971386,7.395955,5.74109,4.300115,5.481165,6.06941,6.02234,7.503835,8.04896
Cre02.g097500,0.00266115,0.005726238,24,21,1.295732518,0.025392858,0.102190859,22.79069767,20.99992264,5.068834176,0.000716441,0.001796849,23.39534884,21.01399684,3.922279309,1.202081039,0.306475124,5.251635,3.497865,2.383235,3.221935,2.931815,4.614355,4.6254,5.08822
Cre02.g097550,0.119401804,0.158559137,24,21,1.18563776,0.772048817,0.896400443,20,0.999928411,6.284891346,0.311947822,0.398351259,22,21.17496063,4.47520746,1.664588223,0.371957778,2.60589,9.46808,2.89425,1.09798,3.755325,5.09759,5.619165,6.387435
Cre02.g097600,0.213256716,0.268639405,24,3,0.093160258,0.230738301,0.347044887,28,7.20E-05,1.188819388,0.197403147,0.26346596,26,1.625033407,0.737886307,0.129034616,0.129034616,1.2511,0.6901445,0.75673,0.7680605,0.502023,0.5721565,0.6640065,0.6515885
Cre02.g097650,0.160561867,0.20728622,21,13.5,2.973702213,0.102946058,0.193001776,20,9.792958025,16.42584234,0.084342385,0.121543603,20.5,11.6081767,11.51416316,4.190826779,0.36397146,10.7349,6.80019,9.542215,17.7911,16.11725,9.459495,9.895235,7.222205
Cre02.g097700,0.010037898,0.017616642,21,13.5,0.428831979,0.277601409,0.400366568,20,12.53209397,2.300600095,0.019179597,0.03150752,20.5,13.01198387,1.5841607,0.887527597,0.560250987,2.453805,0.38603,0.8937155,1.686225,2.384895,2.132965,1.335535,0.6662505
Cre02.g097800,0.744901443,0.846629461,21,12,0.49802167,0.993433227,1,20,9.670304365,2.189849532,0.962820733,1,20.5,10.81317384,1.583206142,0.387382601,0.244682351,2.879395,0.450368,1.29347,2.44111,1.92585,1.393025,1.133265,0.705083
Cre02.g097850,0.000569951,0.001646957,21,15,0.667558299,0.025607519,0.102190859,20.55944056,12.32807358,1.993577086,0.000177108,0.000582428,20.77972028,13.65140871,1.20250365,0.826755689,0.687528632,0.8307895,0.357244,0.4563915,1.544315,2.24536,1.46692,1.467255,0.7403415
Cre02.g097900,0.592350027,0.6843536,21,10.5,0.430557319,0.972349638,1,27.30650155,12.28563613,20.34837161,0.893733214,1,24.15325077,11.47178153,19.44780432,1.508156849,0.077548952,13.9717,25.3163,18.71525,21.2714,18.95345,21.1202,19.1151,17.19555
Cre02.g097950,6.42E-08,7.23E-06,24,22.5,6.538317653,0.010389697,0.101644165,24.84507042,20.99992264,21.35085879,1.48E-08,2.45E-06,24.42253521,21.76945393,12.42583712,7.530699551,0.606051687,18.1645,13.9662,8.008315,4.14407,8.00554,10.196955,14.26565,21.6003
Cre02.g098050,0.04531654,0.066622016,21,0,0.166931648,0.342746813,0.472527581,23.02872063,20.99993032,0.582765687,0.08022091,0.116113387,22.01436031,21.04464685,0.441512925,0.205648127,0.205648127,0.885303,0.2954515,0.208891,0.4910845,0.129742,0.5008555,0.6071385,0.5509245
Cre02.g098100,6.62E-07,2.04E-05,21,18,0.797134909,0.013756336,0.101644165,20.75294118,17.32777379,1.85515468,1.78E-07,6.73E-06,20.87647059,17.66251647,1.201724807,0.7510242,0.624955228,1.77757,0.654897,0.4293265,0.8094255,1.164265,1.78102,1.948025,1.47975
