CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,0,6,12,18
GCOM1,0.224410469,0.685369331,24,15,2.96567799,0.998364545,1,20,11.99999998,31.31010371,0.559193477,1,22,13.47499999,27.36993031,4.870347907,0.177945207,24.85335094,24.41341089,31.31010371,27.79050997
GCSH,1,1,18,6,0.471049343,1,1,20,6.000000004,9.275001811,1,1,19,6.016666669,8.848843203,0.37188819,0.042026758,7.443961135,9.275001811,8.532033326,8.566069531
GDA,1,1,24,18,0.405746768,1,1,25.56962025,17.99993369,13.21093792,1,1,24.78481013,18.01803404,11.69875461,1.350480561,0.115437977,8.340991505,10.44004553,11.55659674,13.21094706
GDAP1,1,1,18,6,0.500874174,1,1,20,6.000001614,12.52707137,1,1,19,6.016667434,11.92354678,0.65515304,0.054946154,14.28746105,12.52707137,11.46648725,11.9206572
GDAP1L1,1,1,18,12,0.157406998,1,1,28,12.00000173,8.167831959,1,1,23,12.59523881,8.045925576,0.156300793,0.01942608,7.138580739,7.902831464,8.167831959,7.807591468
GDAP2,0.152302442,0.546103862,18,3,0.95302669,0.999983105,1,20,6.43E-05,27.60739947,0.438913583,1,19,1.583363887,27.36498384,1.55320064,0.05675869,25.07201456,27.5165349,26.07702291,29.3126301
GDE1,0.003245471,0.044519787,24,21,21.81965038,0.030325638,0.896373127,20,17.99993369,360.8310842,0.001006478,0.019890815,22,19.52496353,339.1761537,24.50063169,0.072235714,438.6483471,298.9021718,349.8088974,360.8311451
GDEP,1,1,18,3,0.097623353,1,1,20,6.00000306,5.132571921,1,1,19,4.433334787,5.070874586,0.116764741,0.023026549,5.234166971,5.132571921,4.937616065,5.100369592
GDF10,0.858421855,1,18,3,0.078798315,1,1,24.19851683,17.99993369,4.589764847,0.989468216,1,21.09925841,20.15518442,4.446205586,0.131720742,0.029625428,4.105791396,4.351040233,4.376368494,4.589766026
GDF11,1,1,18,0,0.142031272,1,1,25.32537313,6.63E-05,6.796756369,1,1,21.66268657,2.84E-05,6.64979914,0.10609513,0.015954637,6.417391361,6.609918963,6.560087458,6.672223504
GDF15,0.47671979,1,18,9,0.13673225,1,1,23.97964952,5.999999759,4.60967378,0.829886397,1,20.98982476,7.873410823,4.525235009,0.130400677,0.028816333,4.711183014,4.60967378,4.600174508,4.411273228
GDF2,0.342121599,0.890732031,18,3,0.050840152,1,1,23.97964952,6.63E-05,5.091851559,0.709077481,1,20.98982476,1.749181085,4.962308508,0.162954569,0.03283846,5.474446235,4.869996003,4.853402833,5.085188584
GDF3,0.276473707,0.779908237,24,3,0.144685678,0.895398717,1,28,6.63E-05,4.919005359,0.593170992,1,26,1.625030788,4.600711321,0.038637515,0.008398161,5.874146599,4.550532286,4.486148129,4.444230997
GDF5,1,1,24,12,0.239123469,0.999999992,1,23.84485666,6.000019216,7.481596472,1,1,23.92242833,8.990376269,7.255475823,0.260609915,0.035919066,7.401274447,7.481596472,7.396895938,7.093916041
GDF6,1,1,24,0,0.028673638,1,1,23.65867262,6.63E-05,5.460400651,1,1,23.82933631,3.34E-05,5.450833293,0.016947785,0.00310921,5.323061374,5.444141606,5.438686772,5.460489556
GDF7,1,1,18,15,0.113575833,1,1,20,17.99995178,5.094356787,1,1,19,16.46664376,4.98714186,0.153511846,0.030781528,5.515671362,4.853976027,4.985478803,5.094357225
GDF9,1,1,24,0,0.24895592,1,1,20,6.63E-05,7.826035955,1,1,22,3.65E-05,7.734519163,0.30598902,0.039561479,9.291348105,7.825154416,7.377329862,8.005516129
GDI1,0.112271523,0.453353956,24,6,1.521883669,0.80121267,1,20,6.000000022,34.44639475,0.306602802,1,22,6.050000012,32.56599562,1.228443298,0.037721656,27.43056713,34.44639475,30.81831295,32.11297809
GDI2,0.42021972,1,24,6,16.02247734,0.999988064,1,25.23497918,6.000010289,1161.935491,0.78453644,1,24.61748959,6.003782448,1140.907359,26.57470924,0.023292609,1225.686903,1161.935491,1151.390302,1113.976174
GDNF,1,1,18,15,0.067616986,1,1,20,12.00000046,4.454275115,1,1,19,13.61666689,4.368133992,0.097409042,0.022299921,3.977614399,4.33508346,4.454275115,4.297076881
GDPD1,0.000342863,0.010116832,18,3,0.346325721,0.279152711,1,26.66247643,6.63E-05,7.216688597,0.000981438,0.019555126,22.33123821,1.860964288,7.246796734,0.949582308,0.131034765,7.458677276,7.135660909,6.674269335,8.085883598
GDPD2,0.013789361,0.117240607,24,12,7.337036786,0.547575175,1,24.19851683,5.999987034,62.46411078,0.044444345,0.378824518,24.09925841,9.012502631,55.7326465,8.161424735,0.146438851,45.90005808,62.46411078,60.58329693,51.63908383
GDPD3,0.874365711,1,24,18,2.486986169,1,1,24.50606586,17.99993369,36.57461095,0.991755041,1,24.25303293,18.00192667,34.19980833,1.762655416,0.051539921,34.47282724,31.92476877,34.98249669,36.57461975
GDPD4,0.185371651,0.612833415,18,0,0.386794359,0.999999958,1,27.81639344,12.0000206,6.813348241,0.497795637,1,22.90819672,4.941309755,6.881404415,0.453473368,0.065898375,8.667999793,6.628269531,6.813348241,6.810117442
GDPD5,1,1,18,3,0.158983003,1,1,21.15710723,6.000003085,5.470465548,1,1,19.57855362,4.407714464,5.317150447,0.163382848,0.03072752,3.962266653,5.470465548,5.169624147,5.220535874
GEM,0.252198067,0.73396547,24,18,0.600743729,1,1,20,6.000004705,8.211996442,0.599611123,1,22,11.55000259,7.570953764,0.438937628,0.05797653,6.531573262,8.211996442,7.641123957,7.164313496
GEMIN4,0.842704209,1,24,6,2.526252827,0.999999961,1,21.7650077,6.000000054,82.37274277,0.986923979,1,22.88250385,6.014344127,79.37610972,2.132807006,0.026869634,76.88112269,82.37274277,77.65257901,77.01642059
GEMIN5,0.016197106,0.131151031,24,0,1.177916822,0.696693175,1,22.05928237,5.01E-05,17.1621276,0.061887478,0.482052971,23.02964119,2.62E-05,16.16535843,1.402233656,0.086743122,16.20390837,15.93278336,14.91341106,16.84923052
GEMIN6,0.172312678,0.586899053,18,6,1.510532784,0.999996095,1,20,6.000000023,27.35985476,0.475313785,1,19,6.016666678,26.23540651,0.984480249,0.037524871,20.10766049,27.35985476,23.8399822,27.30805357
GEMIN7,0.01250594,0.109675419,24,12,0.473096607,0.506399008,1,26.04051565,11.99998017,9.82593016,0.038390506,0.340196406,25.02025783,12.01997714,9.376927101,0.596441038,0.063607302,9.72551524,9.677909882,9.82593016,9.405097498
GEMIN8,1,1,24,12,0.950339205,1,1,26.39701307,5.999990167,20.81057947,1,1,25.19850653,9.163412605,20.11291103,0.802061389,0.039877936,16.54441779,20.81057947,20.58822574,18.9886446
GEN1,0.224410469,0.685369331,24,3,1.341700996,0.999999757,1,20,6.000010434,18.62679276,0.559742116,1,22,4.675005739,17.48885128,1.446393024,0.082703718,19.55190136,18.62679276,16.01149427,17.46043492
GET4,0.353567431,0.906369843,24,3,0.176830797,0.948484738,1,28,6.63E-05,5.29216841,0.701750495,1,26,1.625030788,4.975475397,0.020776583,0.004175799,5.913366851,4.952984002,4.888428209,4.769892747
GFAP,0.180927477,0.604252977,18,0,0.106443582,0.999999899,1,27.4918989,17.99993369,5.197938011,0.490251737,1,22.74594945,18.81926978,5.212092287,0.066442529,0.012747765,5.199056999,5.166905417,5.179034842,5.197938116
GFER,0.051027048,0.276548379,18,9,0.503005546,0.899856379,1,20,5.999999125,10.01752141,0.187383644,1,19,7.599999584,9.278783766,0.62902761,0.067792032,9.497315908,10.01752141,9.00336585,8.934840201
GFI1,1,1,24,18,0.107547126,1,1,22.79419667,17.99993369,5.745107407,1,1,23.39709833,18.01192593,5.620841838,0.091727684,0.016319208,6.054210607,5.481803054,5.689228048,5.745107716
GFI1B,1,1,18,12,0.13236871,1,1,20,11.99999428,5.151389933,1,1,19,12.03333062,5.014486476,0.156942035,0.031297728,4.267187379,4.831565943,5.151389933,4.881434542
GFM1,0.004652105,0.057419879,18,15,7.633282686,0.727021318,1,20,11.99999993,144.6000584,0.022624193,0.227527088,19,13.61666663,138.2016632,8.917906591,0.064528215,147.7894425,130.6984205,144.6000584,138.3034652
GFM2,0.01250594,0.109675419,18,6,3.849504315,0.817428359,1,20,6.000006661,71.05302696,0.057074859,0.456276716,19,6.016669831,67.15751536,3.837321118,0.057139117,75.01006744,71.05302696,63.37613136,66.92158095
GFOD1,0.000150056,0.00582274,24,15,3.396354488,0.005268979,0.276753184,21.09398309,12.00002009,43.43356926,1.19E-05,0.000557147,22.54699155,13.45924121,38.64372419,5.779620201,0.149561677,35.95783476,36.97831659,43.43356926,38.53667024
GFOD2,0.539266991,1,24,21,2.543858138,1,1,24.99705362,6.63E-05,58.30078124,0.872288348,1,24.49852681,22.96740138,57.60766393,2.827527393,0.049082487,48.07633686,55.86772343,55.64983686,60.37746024
GFPT1,0.054007434,0.286757374,24,15,1.85616047,0.755153572,1,25.05611341,11.99999324,27.87154869,0.171270701,0.958168804,24.5280567,13.53856462,25.98572252,1.928260328,0.074204607,22.17022273,25.13410987,27.87154869,27.08642703
GFPT2,1,1,18,6,0.160433674,1,1,20,6.000000202,7.269215241,1,1,19,6.016666762,7.093737139,0.181166345,0.025538914,7.253200536,7.269215241,6.91337303,7.119822296
GFRA1,1,1,18,15,0.127979467,1,1,20,11.99999701,5.647568275,1,1,19,13.61666525,5.649954477,0.209178177,0.037022984,5.839972484,5.40034218,5.647568275,5.614522867
