CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,4,8,12,16,20,24,28,32,36,40
Synpcc7942_0282,0.101156161,0.253910122,28,18,316.7803922,0.452646346,1,27.58104738,16.43065605,2878.339478,0.186985874,0.477533156,27.79052369,17.21039125,2609.920707,298.9913712,0.114559561,2004.340601,2392.575298,2920.961639,2827.668095,2735.551151,2779.295562,2378.995505,2510.549491,2567.024338,2667.26576
Synpcc7942_0281,1,1,24,16,38.51473506,0.999763484,1,22.71047228,17.67009856,491.71746,0.999999972,1,23.35523614,16.87096031,473.5214439,37.32149613,0.078816908,435.3568601,412.0171019,499.1140023,508.2653125,456.2050511,488.769704,458.7326585,413.9796439,526.581453,525.3429412
Synpcc7942_0280,1,1,24,16,12.54705691,0.999962748,1,20,16.89287383,149.4777576,0.999999999,1,22,16.62441394,143.3003087,8.346762154,0.058246645,125.7864389,130.0794542,139.0779023,155.9848967,152.0847498,133.4368054,147.5029494,142.9233127,165.9577231,139.8723355
Synpcc7942_0279,0.000259241,0.003179851,28,10,53.48590574,0.025429135,0.318349454,23.28421053,10.9640463,241.075303,8.52E-05,0.001050675,25.64210526,10.6161121,188.1787799,119.1048133,0.632934348,129.7954017,281.5851903,313.0131785,152.5757116,128.8749054,107.7720207,123.4799336,311.1269511,367.8899666,198.9930451
Synpcc7942_0278,1.86E-05,0.000557637,24,12,79.15006747,0.008786612,0.287325741,22.80412371,11.04891793,151.1149874,2.72E-06,0.000101861,23.40206186,11.51982914,105.7129958,88.83843708,0.840373848,56.72973774,192.6635755,196.7349228,93.8438878,50.50413358,48.2833708,64.02336835,200.5888261,184.2642109,99.64930648
Synpcc7942_0277,0.010503636,0.045485311,20,18,18.22689542,0.079733345,0.448469454,20.51948052,16.05232523,154.2053393,0.006771192,0.032486064,20.25974026,17.04144874,142.5490858,22.0492336,0.154678183,124.5707512,127.1797299,145.8455334,161.5172943,148.9166898,132.2494509,115.6166619,143.4650399,171.2420638,154.7869526
Synpcc7942_0276,1,1,28,0,47.96020601,0.982392832,1,22.89855072,1.727762542,480.6988438,0.999844076,1,25.44927536,0.960111084,452.1338928,63.58939703,0.140642845,580.3569459,444.4216522,368.9929743,429.9572029,452.5463626,454.842122,519.4757126,427.966807,381.9698385,400.1710024
Synpcc7942_0275,1,1,28,4,18.61786041,0.999852187,1,25.19362187,5.104815006,206.2746108,0.999999989,1,26.59681093,4.594339118,208.1486803,16.2860029,0.078242163,254.5266932,239.2125529,182.2249895,206.6752954,201.7151828,195.95178,199.037484,229.0434321,188.2844726,205.0346477
Synpcc7942_0274,1,1,28,4,19.93267449,0.983855496,1,22.34343434,5.212865611,149.4439379,0.99986897,1,25.17171717,4.734340806,147.3160821,16.13198174,0.109505911,192.1532986,174.8214553,123.7769148,141.117715,145.7451882,132.4933384,158.0849934,157.5712099,120.315423,139.7719307
Synpcc7942_0273,1,1,20,0,18.33700416,0.984304395,1,20.98671727,20.3089277,156.6520667,0.999876174,1,20.49335863,20.16243063,148.3804835,16.90046417,0.113899509,187.985218,128.8815178,130.5846252,165.8156096,143.5958593,160.1066094,146.5569082,127.7827725,132.4089088,156.3454693
