NSUN2,TMEM134
SUOX,ZMAT3
MUM1,SLFN11
FAM131A,FUT10
IL32,MUS81
MAX,ZNF596
FYN,CFL1
FAM179A,TMCC1
ARVCF,HOXC5
PSMD3,PDP2
NUBP1,SP3
UBE2A,NADSYN1
GSDMB,MYD88
BCCIP,SH3RF3
RASA3,ZNF680
SESN1,ADCK5
TAGLN2,NOC3L
GTF3C1,ESRRA
CSF1R,RHOD
VMAC,PARP14
SEC31B,GLRX
PARP4,MMRN2
ANGEL1,PPP1R3B
TFPT,STOX2
UNKL,DAG1
MIPEP,SMARCC1
HNRNPL,PTPRM
HHATL,VEGFB
DSCR3,TNFRSF10D
FHOD1,TNFRSF10C
IKBKAP,SNX33
ADPRHL2,CHD2
PDE7A,CCDC106
KDM4A,NUDT4
ABTB1,AGFG1
NETO2,CNP
RNF213,PLK3
IMMP2L,ZNF791
CHST15,RBM4B
ZNF558,43893
RARG,TCAP
WDSUB1,CCS
H2AFY2,KLHL15
PYCR2,SLC25A30
CTSF,CD34
NDUFB11,CTSF
TOM1,LEMD3
B4GALT4,RGMB
SIN3B,CYB561D1
CCDC12,MGA
STOML2,PITPNA
C10orf54,DDX23
HIC2,ZBTB4
ACOT9,PODN
ERBB2,LIG4
PLXNA1,ZWILCH
SCAPER,C12orf76
MBTD1,DENND4A
C19orf25,PELI3
UBE2N,IL20RB
ADA,AKIRIN1
MRPL54,CMKLR1
ALOX5AP,KY
PAFAH1B1,SLC29A2
BDH1,TMEM167A
SRPX,NR1D2
MON1A,C4orf32
KCTD21,SRP72
SORD,PDE12
SNX29,GLMN
TCEA2,PTDSS2
MYL6,C3orf33
DOK3,FUT1
SYNCRIP,CTBP2
C5orf30,GK5
SYPL1,PDIK1L
MANBA,ZNF654
ZDHHC1,MARCKSL1
VPS52,SH3BP5L
SLC46A1,YPEL2
SEH1L,CSRP2
CXorf23,PARL
SLFN12,DDIT3
TSEN34,ZNF408
POLM,CTDSP2
TRIP4,ZNF519
G3BP1,SMAD2
ZNF814,ARL10
FAM122B,CCDC14
SF3B3,MCTP1
CACYBP,LONRF3
OLFML2B,UCP3
TJP2,UCP2
USP3,C11orf68
TRIT1,PAAF1
ALKBH3,ERCC4
PAIP2B,ZNF77
RAB27A,B3GNTL1
RPL10A,SLC35E3
MLH1,RUVBL1
PSMC4,PLEKHF2
STX6,DOK7
