ADR,AOR,BFAT,BST,CER,HEA,HYP,KID,LIV,LUN,MUS,WAT
Usp36,Sh3pxd2a,Dhrs7b,Spen,Wbp2,0610009B22Rik,Rpn2,Fyn,Tmem177,Fbxo30,Alyref,Nr4a1
Azi1,Il15ra,Map2k3,Prdm2,St6galnac2,Cox10,Slc9a8,Ppil6,Tmem37,Epm2a,Fasn,Zfp740
Ccdc57,Ankrd16,Mfap4,Plod1,Timp2,Arhgef15,Edn3,Snx3,Dbi,Vnn3,Dnajc27,Mfsd5
Nfyc,Nup188,Ubb,Lap3,Dnajc27,Tnfsf12,Gtpbp5,Sec63,Steap3,Vnn1,Sdc1,Prr13
E2f6,Fam73b,Gas7,Nsun7,Nfyc,Chrnb1,9230112E08Rik,Ascc3,Insig2,Epb4.1l2,Fam49a,Azin1
Klf11,Usp20,Myh10,Rasl11b,Cpsf3,Bcl6b,Rtel1,Gp49a,Ddx18,Arhgap18,Klf11,Lrp12
Nampt,Angptl2,Aurkb,Atxn2,Cmpk2,Inca1,Gm10855,Fabp7,Il24,Ptprk,Pxdn,Sybu
Agr3,Dhrs9,Per1,Tsc22d4,Cog5,Olfr389,Gm10115,P4ha1,Mapkapk2,9330159F19Rik,Lamb1,Mtss1
Rhoj,Slc43a3,Lsmd1,Ift172,Sostdc1,Cox7c,Pfkfb3,Ppa1,Cdk18,Hddc2,Ankmy2,Zfat
Hspa2,Lrp4,Tax1bp3,Gabra2,Etv1,Fam101b,Sohlh1,Slc25a16,Atp2b4,Tspyl4,Prkch,Cpsf1
Serpina3b,Chst1,Olfr376,Hnrpdl,2700049A03Rik,Nlk,Ggta1,Pbld1,Prelp,Lama4,Rhoj,Tob2
Papola,Slc27a2,Olfr59,Tgfbr3,Dact1,Wsb1,Pdcl,Dnajc12,Rnpep,Akd1,Mthfd1,Mapk12
Tnfaip2,Cdc25b,1300001I01Rik,Rnft2,Prkch,Ypel2,Rc3h2,Jmjd1c,Ipo9,Mical1,Rdh12,Rnd1
Adssl1,Xrn2,Bhlha9,Tmem132d,Rhoj,Gdpd1,Zdhhc5,Tmem26,Lhx9,Ppil6,Smoc1,Tuba1a
Crip1,Nxt1,Coro6,Gtf2ird1,Fam71d,Akap1,Olfr1224-ps1,Rhobtb1,Rgs2,Snx3,Ptgr2,Pou6f1
