LDLEAF,LDM,LDVA,SDLEAF,SDM,SDVA
AT1G17990,AT1G13080,AT1G47740,AT1G05900,AT1G11930,AT1G11840
AT1G18070,AT1G13090,AT1G48120,AT1G05910,AT1G12230,AT1G11860
AT1G18150,AT1G13190,AT1G48310,AT1G05940,AT1G12240,AT1G11890
AT1G18210,AT1G13230,AT1G48370,AT1G06000,AT1G12244,AT1G11910
AT1G18265,AT1G13245,AT1G48920,AT1G06040,AT1G12450,AT1G11925
AT1G18335,AT1G13250,AT1G48960,AT1G06050,AT1G12840,AT1G11960
AT1G18340,AT1G13270,AT1G48970,AT1G06080,AT1G12900,AT1G12000
AT1G18460,AT1G13280,AT1G49170,AT1G06110,AT1G12930,AT1G12050
AT1G18720,AT1G13640,AT1G49230,AT1G06130,AT1G12970,AT1G12070
AT1G18740,AT1G13700,AT1G49750,AT1G06150,AT1G13080,AT1G12210
AT1G19310,AT1G13740,AT1G49760,AT1G06260,AT1G13090,AT1G12280
AT1G19350,AT1G13750,AT1G49880,AT1G06290,AT1G13270,AT1G12430
AT1G19450,AT1G14030,AT1G50180,AT1G06390,AT1G13570,AT1G12775
AT1G19570,AT1G14150,AT1G51300,AT1G06410,AT1G13610,AT1G12840
AT1G19970,AT1G14290,AT1G51760,AT1G06430,AT1G13710,AT1G13080
AT1G20010,AT1G14360,AT1G52190,AT1G06450,AT1G13730,AT1G13190
AT1G20020,AT1G14440,AT1G52230,AT1G06460,AT1G13740,AT1G13245
AT1G20060,AT1G14480,AT1G52420,AT1G06470,AT1G13790,AT1G13260
AT1G20190,AT1G14540,AT1G53040,AT1G06560,AT1G13940,AT1G13270
AT1G20260,AT1G14660,AT1G53670,AT1G06570,AT1G13980,AT1G13380
AT1G20330,AT1G14740,AT1G53680,AT1G06640,AT1G14205,AT1G13570
AT1G20370,AT1G14810,AT1G53690,AT1G06645,AT1G14250,AT1G13640
AT1G20450,AT1G14920,AT1G53730,AT1G06650,AT1G14270,AT1G13740
AT1G20620,AT1G15020,AT1G53885,AT1G06680,AT1G14300,AT1G13780
AT1G20670,AT1G15030,AT1G53910,AT1G06690,AT1G14410,AT1G13940
AT1G20840,AT1G15110,AT1G54100,AT1G06700,AT1G14480,AT1G13980
AT1G20910,AT1G15120,AT1G54270,AT1G06730,AT1G14580,AT1G14300
AT1G21000,AT1G15175,AT1G54510,AT1G06770,AT1G14670,AT1G14410
AT1G21050,AT1G15180,AT1G54890,AT1G06820,AT1G14690,AT1G14440
AT1G21080,AT1G15270,AT1G55820,AT1G06830,AT1G14850,AT1G14540
AT1G21410,AT1G15290,AT1G56690,AT1G06840,AT1G15020,AT1G14560
AT1G21450,AT1G15340,AT1G58080,AT1G06890,AT1G15110,AT1G14590
AT1G21590,AT1G15690,AT1G58290,AT1G06900,AT1G15180,AT1G14660
AT1G21670,AT1G15700,AT1G59520,AT1G06960,AT1G15290,AT1G14685
AT1G21680,AT1G15710,AT1G59910,AT1G07010,AT1G15330,AT1G14720
AT1G21730,AT1G15820,AT1G60000,AT1G07070,AT1G15550,AT1G14890
AT1G21750,AT1G15880,AT1G60360,AT1G07110,AT1G15690,AT1G14980
AT1G21920,AT1G15920,AT1G60590,AT1G07140,AT1G15820,AT1G15020
AT1G22070,AT1G15950,AT1G60800,AT1G07180,AT1G15880,AT1G15100
AT1G22200,AT1G15960,AT1G61520,AT1G07210,AT1G15910,AT1G15110
AT1G22300,AT1G16130,AT1G61740,AT1G07240,AT1G15920,AT1G15290
