SAMPLE2,SAMPLE6
YLR436C,YKR020W
YOR253W,YDR430C
YNL268W,YPR160W
YIL105C,YBR026C
YDL029W,YNL129W
YDR403W,YDR341C
YOR132W,YHR138C
YCL026C-B,YPL144W
YDR525W-A,YHL020C
YPL255W,YGR106C
YGL229C,YJR128W
YER065C,YOL099C
YPR194C,YKL138C
YML052W,YOL109W
YML064C,YGL002W
YBR167C,YMR313C
YPR176C,YLR361C
YFL016C,YDR380W
YLR383W,YOL084W
YJL062W,YLR069C
YDR140W,YPL203W
YNL252C,YBL055C
YLR048W,YPL191C
YGR282C,YIL037C
YEL033W,YPL088W
YMR196W,YPL240C
YOR205C,YPR060C
YLR299W,YGL172W
YER056C,YPL053C
YBR188C,YHL027W
YOR195W,YAR068W
YER114C,YBL071W-A
YOR192C-C,YAL038W
YJL191W,YMR024W
YIL002C,YHR187W
YDR518W,YGR155W
YKR021W,YLR136C
YLR328W,YIL069C
YKL173W,YIL085C
YBL003C,YGL195W
YNR013C,YDR062W
YJR077C,YOL119C
YDR376W,YJR105W
YGL058W,YNL289W
YMR284W,YNR036C
YML061C,YJL096W
YJL139C,YMR090W
YDL129W,YGR119C
YLR449W,YER121W
YLR021W,YBL064C
YOR145C,YOR392W
YKR069W,YDL149W
YOR287C,YBR282W
YIL122W,YER170W
YPL218W,YDR407C
YLR080W,YGL009C
YJR149W,YHR101C
YJL145W,YBL009W
YPR198W,YDR427W
YNR052C,YDR246W
YHR098C,YDL024C
YOR244W,YMR137C
YMR314W,YMR228W
YLR173W,YJR069C
YHR190W,YIL066C
YPL097W,YDR309C
YNL115C,YER095W
YLR103C,YJL063C
YBR112C,YMR206W
YNL247W,YMR154C
YOR345C,YBR101C
YNR065C,YCR004C
YKL132C,YJL108C
YPL222W,YEL020C
YKL012W,YEL016C
YHR141C,YLR020C
YAL041W,YOL087C
YBL052C,YNL092W
YCL045C,YGL243W
YNL011C,YNL208W
YDL135C,YER055C
YMR237W,YNL128W
YOR020W-A,YJR002W
YOR054C,YPL094C
YGR214W,YPL106C
YGR046W,YFR042W
YMR130W,YLR256W
YLR455W,YMR241W
YDR308C,YNR037C
YJL153C,YLR440C
YKR036C,YBR054W
YIL047C-A,YML106W
YCR002C,YMR298W
YDR244W,YHR012W
YER097W,YKL094W
YPR093C,YDR497C
YMR239C,YOR129C
YLR163C,YDR041W
YDL072C,YMR272C
YPL190C,YDL201W
YHR199C-A,YNL200C
YBR207W,YER073W
YML073C,YEL006W
YLR084C,YNL238W
YGL215W,YPL163C
YPR066W,YMR258C
YNL202W,YML069W
YOR161C-C,YIL150C
YPL143W,YCL057C-A
YLR099C,YML124C
YOR080W,YDL178W
YNL133C,YLR152C
YIL097W,YMR096W
YOR198C,YNL240C
YNR025C,YJL048C
YLR014C,YEL031W
YNL101W,YKL191W
YGL241W,YDR144C
YML055W,YIL094C
YHR143W-A,YMR032W
YLL050C,YPL112C
YFL052W,YKL128C
YML035C,YMR010W
YGR133W,YOR201C
YDR357C,YDR001C
YDR023W,YPL137C
YDR006C,YNL269W
YNL256W,YOR286W
YML100W,YOR315W
YHR197W,YNL010W
YER098W,YIL087C
YNL325C,YKR100C
YDL244W,YHR061C
YBR128C,YHR104W
YGL168W,YLL008W
YPL258C,YPL111W
YDR540C,YPR123C
YIL036W,YBR158W
YDL082W,YGL146C
YLR307W,YER043C
YML119W,YMR054W
YPL273W,YPR015C
YPL201C,YPR100W
YHR003C,YKL149C
YKR085C,YPR122W
YPL025C,YER124C
YPR041W,YOL158C
YHR171W,YDL110C
YJL050W,YIL044C
YER116C,YJR032W
YLR051C,YBR110W
YOR136W,YEL028W
YBL113C,YEL067C
YOR202W,YPL208W
YLR364W,YOR319W
YNL054W,YCL014W
YGR137W,YGL117W
YBR153W,YJL072C
YGR142W,YDR090C
YOL023W,YOR061W
YKL186C,YNL024C
YDR221W,YJL217W
YGR264C,YDR523C
YDL184C,YHL017W
YDR206W,YKL098W
YKL198C,YCR008W
YLR112W,YOR204W
YBL037W,YGR110W
YDR504C,YOR165W
YBL083C,YNL185C
YJR152W,YML086C
YBR191W-A,YDR016C
YBR085W,YIL113W
YKL076C,YJL142C
YKL106W,YDR414C
YBR281C,YCR086W
YDL153C,YNL046W
YBL078C,YPL265W
YDL150W,YDR214W
YLL001W,YML050W
YOL136C,YNL078W
YER036C,YMR158W
YGL052W,YKR018C
YDR398W,YOR262W
YNL168C,YDL045W-A
YIL077C,YMR132C
YGR038W,YDR358W
YMR153W,YBR010W
YPL266W,YDR073W
YPL264C,YGL139W
YPL279C,YLR287C
YER115C,YDR079W
YLR336C,YLL055W
YDR101C,YOL029C
YDR441C,YMR260C
YMR121C,YKL101W
YHL014C,YJR015W
YMR312W,YML072C
YOR382W,YPL153C
YOR214C,YBR283C
YDR410C,YGL226W
