"CycID","ARS_pvalue","ARS_BH.Q","ARS_period","ARS_adjphase","ARS_amplitude","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","LS_pvalue","LS_BH.Q","LS_period","LS_adjphase","LS_amplitude","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","7171","7184","7197","7210","7223","7236","7249","7262","7275","7288","7301","7314","7327","7340","7353","7366","7379","7392","7405","7418"
"YPL086C","0.000235714638950224","0.000887159846962475","120","66.1679511228772","30.0411369121965","1.02770666668728e-07","2.76140313049016e-06","143","112","21.4863234298297","0.0114559516456367","0.0466498781395924","128.108108108108","88.9426963782817","66.1969410854844","1.24296573034144e-10","1.89667363296545e-09","130.369369369369","88.4063327247199","42.0325702603369","33.1185845064357","0.78792670306168","22.669","12.249","16.267","23.304","29.484","30.568","46.855","110.025","72.083","53.171","33.503","15.513","10.456","22.622","27.301","35.202","81.207","97.8","54.173","46.492"
"YHL044W","0.0557926230870185","0.0731900680700009","120","6.85939913024545","0.447469210247549","0.451089436332063","0.542254953614501","130","53.5","0.378302127934803","0.312355968407084","0.381042219651753","130.45871559633","24.4178236235002","1.44026902376106","0.138253299084401","0.170849836330988","126.819571865443","26.5418398678601","1.17727966630382","0.438997431911753","0.372891373627496","1.054","2.054","2.125","1.499","1.113","0.863","1.212","0.869","0.765","0.372","0.623","1.742","2.402","1.077","0.649","2.071","0.634","0.434","0.864","1.203"
"YOR209C","0.000166276077785632","0.00070916919304017","120","71.7828523698278","59.4500191524696","1.70596466382121e-05","7.28098178343581e-05","143","112","59.4222486870974","0.00540558570672667","0.0462976872777139","132.897196261682","90.4197270651812","205.36582381706","5.15100284648184e-09","2.65618683622994e-08","131.965732087227","90.6389843459627","148.71896066542","52.9135594181726","0.355795650947392","120.35","77.177","82.738","101.151","125.422","126.633","160.617","239.196","223.674","224.593","185.503","89.723","74.378","99.642","114.912","113.776","192.306","232.78","193.974","182.064"
"YBR027C","0.301331572179364","0.337177098690652","120","99.5667954381947","0.976915382811726","1","1","130","1.5","1.33643181644258","0.990094458152156","0.99999991536077","89.4339622641509","84.4148979959455","12.7324624188578","0.877420658387144","0.920308837208512","113.14465408805","105.144504306688","8.76145901764691","0.797223195921143","0.0909920590070003","8.304","8.263","3.992","10.637","7.82","7.656","7.745","7.713","6.515","9.513","12.833","7.988","7.673","9.827","8.011","6.617","11.877","10.158","9.934","13.91"
"YBR023C","0.00034955505517309","0.00114057562881188","120","72.7667226990889","20.778337211564","3.05849158179894e-06","2.07708549181511e-05","143","118.5","17.9838467659175","0.00852388635110957","0.0462976872777139","132.897196261682","89.9870918534307","56.0999545907012","3.18538007082481e-09","1.82443455400346e-08","131.965732087227","92.5859297846328","38.0821944600825","17.171269504116","0.450900210651327","26.698","17.788","19.228","22.439","30.326","32.315","35.696","64.324","79.663","53.999","42.349","19.394","16.488","18.597","24.391","28.328","40.004","75.165","67.901","41.843"
"YDR142C","0.160149416580316","0.189239654773681","120","55.8331747042334","3.8531971142596","1","1","143","118.5","5.25132851048189","0.929806434501626","0.959780151197603","180","62.4117587373503","70.3624589385268","0.702525081418629","0.758094116145822","147.666666666667","70.4171704046583","64.1917259453586","1.67415335930259","0.0260805163694721","61.75","60.709","54.803","63.674","64.64","70.862","78.958","59.169","74.239","66.788","67.203","61.438","68.945","54.618","60.71","70.727","60.752","66.56","61.452","59.526"
"YIR025W","0.206745985152564","0.239447186702182","120","50.8281304418482","3.1870492929884","0.56276074078036","0.662702244287848","78","47","2.37800010513036","0.587070386077206","0.649033092300024","70.7462686567164","34.849084447098","38.5910666489165","0.497607200197713","0.554992329402972","89.5820895522388","45.2805327646664","34.7600196124805","1.45719450429438","0.0419215673794148","34.83","29.763","30.518","34.804","44.813","38.195","44.174","25.377","41.212","34.266","42.774","27.063","27.257","32.056","36.239","36.697","36.868","33.727","35.672","29.779"
"YER066C-A","0.261119088041076","0.295986053575541","120","73.2918346898369","0.269181616669972","1","1","130","1.5","0.229456150495035","0.874773346366463","0.912113932941579","125.840707964602","115.992220853156","0.871812859023234","0.814705085596839","0.86376349785357","125.280235988201","110.274111976919","0.841029911555481","0.139624304533277","0.139624304533277","0.745","0.484","0.177","0.565","0.472","0.61","0.935","0.615","0.773","0.526","1.616","0.568","0.849","0.435","0.734","0.837","1.255","2.862","0.733","0.972"
"YDR036C","0.0058549242585455","0.00965763558215403","120","117.900267435152","24.8352435729004","4.37754666600068e-07","5.58951206526533e-06","143","40.5","26.3294745508717","0.0143550396702018","0.047557285758504","138.058252427184","9.47027738160887","82.2817332227477","1.15396594502215e-08","4.9558787631945e-08","133.686084142395","13.8106271176326","63.0383679463428","15.0828782218161","0.239265049416483","100.852","136.548","86.535","61.366","60.81","55.607","51.359","20.937","32.198","53.705","59.424","106.324","99.279","65.31","59.475","57.317","33.771","24.631","38.465","48.467"
"YOR394C-A","0.386686635699394","0.421988947311011","120","11.6968017044962","1.25905798319042","1","1","78","27.5","1.671600430725","0.924169888907635","0.954599684681461","72.1827411167513","52.016500223418","11.5402382918002","0.914287756832876","0.951228676300871","90.0609137055838","21.2741598897305","10.5068906346146","0.24203402097338","0.0230357419135979","5.354","12.561","8.995","16.917","8.951","6.392","9.798","12.267","8.789","8.668","9.677","10.209","12.712","8.466","14.828","12.528","8.049","11.627","10.24","13.099"
"YJR106W","0.286318795935367","0.321609484360567","120","56.1956163184959","1.60080081836941","0.0135056677210722","0.0227549145355033","65","21","3.25534284388757","0.0432858696966989","0.0813975088020279","66.1395348837209","51.547985303062","20.8095413971031","0.0079504859258609","0.0115338035262489","83.7131782945736","40.6637381292498","19.0474380768386","0.249641940782295","0.0131063264138318","24.985","18.271","14.327","15.476","23.309","23.397","21.153","15.01","20.228","22.607","20.449","16.186","16.539","17.385","21.318","19.412","20.994","15.867","16.608","17.529"
