CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,X4,X4.1,X8,X8.1,X12,X12.1,X16,X16.1,X20,X20.1,X24,X24.1,X28,X28.1,X32,X32.1,X36,X36.1,X40,X40.1
Synpcc7942_0352,0.125826047,0.302128117,24,22,99.12853628,0.195292295,0.702825173,27.44416873,21.4750114,980.693031,0.115642639,0.324021675,25.72208437,21.85303045,885.4974441,111.3646707,0.125765096,876.4813769,666.4527074,765.0036599,832.3904859,803.8512398,851.0998265,913.0249628,801.4687791,1078.623474,934.5463572,1141.10383,945.6596309,887.1919214,805.3896798,859.9131127,748.6375992,886.7435552,777.0201991,844.4035004,823.7743417
Synpcc7942_0351,0.343341746,0.667385595,24,2,40.59061078,0.582992669,1,20.51948052,3.470976719,290.2213945,0.522154231,1,22.25974026,2.810164524,285.0026812,37.037416,0.129954623,355.1871214,412.429255,314.5518378,268.4054558,201.3543808,240.1063963,246.2103034,280.6837534,255.8677344,354.403871,262.3295113,300.0781507,221.5308433,311.8356682,311.0322554,264.0010544,177.7504882,274.8244983,249.3604614,344.7303643
Synpcc7942_0350,1,1,20,16,6.395539483,0.999990463,1,28,11.99991803,206.6187188,1,1,24,14.74282201,180.5769745,1.013186965,0.005610831,167.9001638,185.5364882,190.1127433,159.5298887,178.8833737,160.7224852,178.4020069,167.8012798,171.3357579,182.8653416,145.3009325,172.623609,170.3117596,195.3732867,218.1127431,193.7362829,175.2415633,169.4001506,222.8484569,206.6356033
Synpcc7942_0349,0.01827761,0.070889795,24,12,90.49534832,0.195119873,0.702825173,21.81459566,12.76959373,983.4491776,0.023666915,0.091365302,22.90729783,12.43143845,921.7516795,89.39904629,0.096988211,757.9566175,973.0934126,843.401024,1018.82835,999.6965279,1096.243057,886.3569056,964.2047465,709.4358215,916.5656452,812.8745893,876.4352859,995.4436367,937.3914526,939.148547,1015.014135,1099.438724,985.1243788,885.1115166,936.5448026
Synpcc7942_0348,0.000114234,0.00193498,24,14,133.171746,0.038430527,0.342205783,23.18658281,12.47927058,1313.661874,5.85E-05,0.000842665,23.5932914,13.23045944,1222.745053,188.2109957,0.15392497,1146.065405,1099.343234,1124.24594,1334.086495,1425.955789,1485.805692,1267.81347,1213.653192,1130.97348,1160.186853,1056.724118,1065.37805,1143.674189,1048.129441,1129.529938,1365.504851,1471.871839,1671.186363,1182.346881,1351.911711
Synpcc7942_0347,0.125826047,0.302128117,24,18,296.2297505,0.31995643,0.919630534,20.75046904,19.32885448,5021.250034,0.169587412,0.440785654,22.37523452,18.81186659,4925.235146,350.6821888,0.071201106,4544.218685,4317.831371,4380.912688,4387.374328,5127.047219,4726.224532,5346.034975,4363.26602,5512.734148,4784.512131,5098.390302,4561.971239,5028.940075,4328.852927,4226.705264,4379.78272,5541.715841,6539.463544,5274.51181,5524.761191
Synpcc7942_0346,0.695784384,1,20,18,20.15242671,0.9015312,1,20.51948052,20.41474726,359.9837855,0.91981568,1,20.25974026,19.19504949,347.005388,15.82216491,0.045596309,329.784432,318.5060045,322.5995811,321.7115333,305.575831,339.2398765,347.2942068,360.6527084,332.763731,383.9596613,413.212264,322.9618107,364.4936439,306.463857,322.5886753,360.0255247,340.511155,408.9278615,338.4153141,397.5949393
Synpcc7942_0345,1,1,24,4,9.509670857,0.999999995,1,20,4.253106372,119.4783725,1,1,22,4.172541838,119.1170788,5.021824035,0.042158724,101.9938609,156.8258558,103.9673695,147.3320296,108.0445866,113.9750812,99.93744832,127.3052745,83.19005241,144.4501748,110.2786084,140.8226738,92.05859781,145.6666984,102.287188,117.2706883,92.45328659,151.1001815,91.07599005,148.5887332
Synpcc7942_0344,1,1,20,10,64.14476888,0.957467923,1,21.98807157,9.470757654,886.5567466,0.999082408,1,20.99403579,9.769810973,832.161935,95.96973591,0.115325794,711.8233937,757.7473179,1224.92706,910.1827372,765.2502327,667.9118667,864.1561604,755.4972463,783.406264,863.3906266,750.9672588,716.7158682,771.0134507,859.85943,1170.369936,1025.660923,683.9076343,807.483,776.3980061,863.2885969
Synpcc7942_0343,0.284044956,0.575017839,24,22,143.8489461,0.685521344,1,22.16432866,20.38378249,3234.787256,0.513317601,1,23.08216433,21.19326775,3108.833454,164.310999,0.052852944,3004.459502,3182.902587,2698.218337,2924.537875,2869.607767,3233.355273,3165.947449,3070.087337,3389.289278,3011.068956,3218.545416,3298.401314,3073.42384,3290.918293,2618.215764,2858.940189,3118.699022,3433.088475,3110.814282,3145.433232
Synpcc7942_0342,0.000259241,0.003179851,24,10,42.10876001,0.035696814,0.335135535,22.34343434,11.53862508,238.7496757,0.000116513,0.001336945,23.17171717,10.81062506,220.2086022,44.21315161,0.200778494,192.2512735,230.7171041,266.1009912,274.1926873,272.9179812,232.7996713,260.4147894,190.8670572,210.1625208,165.3687613,171.5403625,187.6859119,206.4103923,228.3504944,294.3533393,261.0615221,248.0190123,221.6395022,221.9238217,196.4894079
Synpcc7942_0341,1,1,20,8,12.59805518,0.999240368,1,20.14571949,8.998715186,87.03528917,0.999999711,1,20.07285974,8.497657001,78.40225754,11.17135111,0.14248762,46.88855801,107.1870429,87.51332817,77.14744386,87.17653724,97.42220444,40.22930859,87.5830276,46.76975318,77.95669727,109.8158653,78.82981108,110.1786637,53.04172622,109.4310007,56.40620434,72.8045491,91.45316494,62.84045821,67.77589841
