ORF	Protein_abundance
YDL139C	5.56E+02
YDR043C	5.56E+02
YDR128W	5.56E+02
YDR482C	5.56E+02
YGL025C	5.56E+02
YGR256W	5.56E+02
YJL079C	5.56E+02
YLR145W	5.56E+02
YLR154C	5.56E+02
YLR424W	5.56E+02
YMR140W	5.56E+02
YOR058C	5.56E+02
YOR113W	5.56E+02
YOR159C	5.56E+02
YPL141C	5.56E+02
YJL090C	5.40E+02
YAR014C	5.38E+02
YCL024W	5.38E+02
YDR144C	5.38E+02
YER035W	5.38E+02
YGL126W	5.38E+02
YGL169W	5.38E+02
YGR077C	5.38E+02
YGR257C	5.38E+02
YJL026W	5.38E+02
YJR012C	5.38E+02
YJR054W	5.38E+02
YKL086W	5.38E+02
YKL105C	5.38E+02
YLR082C	5.38E+02
YLR106C	5.38E+02
YLR131C	5.38E+02
YLR418C	5.38E+02
YLR431C	5.38E+02
YMR102C	5.38E+02
YMR257C	5.38E+02
YNL053W	5.38E+02
YOR189W	5.38E+02
YPL046C	5.38E+02
YPL183W-A	5.38E+02
YPL234C	5.38E+02
YPR068C	5.38E+02
YPL083C	5.31E+02
YBR083W	5.30E+02
YBL034C	5.21E+02
YCL030C	5.21E+02
YDL056W	5.21E+02
YDR162C	5.21E+02
YDR456W	5.21E+02
YIL054W	5.21E+02
YKL159C	5.21E+02
YML059C	5.21E+02
YMR288W	5.21E+02
YNL003C	5.21E+02
YNL082W	5.21E+02
YNL139C	5.21E+02
YNL239W	5.21E+02
YOL108C	5.21E+02
YOR346W	5.21E+02
YPL006W	5.21E+02
YPL038W	5.21E+02
YPL177C	5.21E+02
YPR106W	5.21E+02
YPR120C	5.21E+02
YGR005C	5.20E+02
YBR069C	5.04E+02
YCL017C	5.04E+02
YCR037C	5.04E+02
YDR248C	5.04E+02
YDR316W	5.04E+02
YGL209W	5.04E+02
YGR286C	5.04E+02
YHR159W	5.04E+02
YIL071C	5.04E+02
YIL151C	5.04E+02
YIR009W	5.04E+02
YJR082C	5.04E+02
YKL121W	5.04E+02
YLR327C	5.04E+02
YMR064W	5.04E+02
YNL078W	5.04E+02
YNL167C	5.04E+02
YNL295W	5.04E+02
YOR385W	5.04E+02
YPL123C	5.04E+02
YOL116W	4.91E+02
YBR172C	4.86E+02
YBR207W	4.86E+02
YDR022C	4.86E+02
YFR008W	4.86E+02
YGL010W	4.86E+02
YGL036W	4.86E+02
YGL066W	4.86E+02
YGR271W	4.86E+02
YLL007C	4.86E+02
YLR132C	4.86E+02
YMR075W	4.86E+02
YMR275C	4.86E+02
YMR293C	4.86E+02
YOR344C	4.86E+02
YPL148C	4.86E+02
YER087W	4.77E+02
YML043C	4.76E+02
YBR233W-A	4.68E+02
YBR272C	4.68E+02
YDL059C	4.68E+02
YDL240W	4.68E+02
YDR079W	4.68E+02
YER153C	4.68E+02
YER183C	4.68E+02
YGL127C	4.68E+02
YGR062C	4.68E+02
YGR143W	4.68E+02
YGR238C	4.68E+02
YHR132C	4.68E+02
YHR165C	4.68E+02
YLR137W	4.68E+02
YLR234W	4.68E+02
YLR408C	4.68E+02
YMR138W	4.68E+02
YNL051W	4.68E+02
YNL133C	4.68E+02
YOL103W	4.68E+02
YOR098C	4.68E+02
YKL089W	4.65E+02
YBR118W	4.50E+02
YDL027C	4.50E+02
YDL129W	4.50E+02
YDR034C	4.50E+02
YER005W	4.50E+02
YGL059W	4.50E+02
YHR035W	4.50E+02
YIL031W	4.50E+02
YIR003W	4.50E+02
YJL036W	4.50E+02
YKL124W	4.50E+02
YML042W	4.50E+02
YMR073C	4.50E+02
YNL029C	4.50E+02
YNL161W	4.50E+02
YNR045W	4.50E+02
YOR063W	4.50E+02
YOR358W	4.50E+02
YPL072W	4.50E+02
YPL232W	4.50E+02
YPL250C	4.50E+02
YCR079W	4.32E+02
YDR026C	4.32E+02
YDR096W	4.32E+02
YDR473C	4.32E+02
YER077C	4.32E+02
YJR051W	4.32E+02
YKL020C	4.32E+02
YLR127C	4.32E+02
YMR154C	4.32E+02
YMR218C	4.32E+02
YMR224C	4.32E+02
YNL257C	4.32E+02
YNL311C	4.32E+02
YOL017W	4.32E+02
YOR130C	4.32E+02
YPL265W	4.32E+02
YDR069C	4.28E+02
YAL053W	4.14E+02
YBL019W	4.14E+02
YER019C-A	4.14E+02
YGL143C	4.14E+02
YGR188C	4.14E+02
YGR193C	4.14E+02
YHR106W	4.14E+02
YIL132C	4.14E+02
YKR021W	4.14E+02
YLR288C	4.14E+02
YML118W	4.14E+02
YOL137W	4.14E+02
YOR106W	4.14E+02
YPR061C	4.14E+02
YPR083W	4.14E+02
YHR011W	4.05E+02
YDR217C	4.00E+02
YJL025W	3.98E+02
YBL086C	3.96E+02
YBR255W	3.96E+02
YCR033W	3.96E+02
YDR135C	3.96E+02
YDR524C	3.96E+02
YGL080W	3.96E+02
YGL197W	3.96E+02
YIL130W	3.96E+02
YIL140W	3.96E+02
YJL083W	3.96E+02
YKL019W	3.96E+02
YLR098C	3.96E+02
YLR189C	3.96E+02
YLR268W	3.96E+02
YMR066W	3.96E+02
YMR112C	3.96E+02
YMR207C	3.96E+02
YNL033W	3.96E+02
YNL162W-A	3.96E+02
YNL307C	3.96E+02
YOR127W	3.96E+02
YOR131C	3.96E+02
YOR258W	3.96E+02
YPL060W	3.96E+02
YPL066W	3.96E+02
YPL176C	3.96E+02
YPL219W	3.96E+02
YDR285W	3.91E+02
YOR018W	3.86E+02
YOR193W	3.82E+02
YBR007C	3.77E+02
YDL008W	3.77E+02
YDL117W	3.77E+02
YDL132W	3.77E+02
YDR191W	3.77E+02
YDR200C	3.77E+02
YDR532C	3.77E+02
YER008C	3.77E+02
YER044C	3.77E+02
YGL219C	3.77E+02
YGR169C	3.77E+02
YHR004C	3.77E+02
YLR073C	3.77E+02
YLR176C	3.77E+02
YLR265C	3.77E+02
YML020W	3.77E+02
YOR330C	3.77E+02
YPL020C	3.77E+02
YPR042C	3.77E+02
YPR080W	3.77E+02
YDR240C	3.61E+02
YGR094W	3.58E+02
YBL091C-A	3.58E+02
YBR114W	3.58E+02
YBR237W	3.58E+02
YCR065W	3.58E+02
YCR076C	3.58E+02
YDL113C	3.58E+02
YDR179C	3.58E+02
YDR369C	3.58E+02
YDR457W	3.58E+02
YDR485C	3.58E+02
YDR533C	3.58E+02
YEL059C-A	3.58E+02
YER015W	3.58E+02
YHL002W	3.58E+02
YKL018C-A	3.58E+02
YKL068W	3.58E+02
YKR085C	3.58E+02
YLR050C	3.58E+02
YLR423C	3.58E+02
YMR048W	3.58E+02
YMR093W	3.58E+02
YMR106C	3.58E+02
YOR081C	3.58E+02
YPL085W	3.58E+02
YPL101W	3.58E+02
YPR172W	3.58E+02
YBR070C	3.39E+02
YBR266C	3.39E+02
YCR011C	3.39E+02
YDL176W	3.39E+02
YDR159W	3.39E+02
YDR333C	3.39E+02
YFL030W	3.39E+02
YGR052W	3.39E+02
YHR057C	3.39E+02
YHR189W	3.39E+02
YJL210W	3.39E+02
YJR008W	3.39E+02
YKR010C	3.39E+02
YLL054C	3.39E+02
YLR049C	3.39E+02
YLR383W	3.39E+02
YLR457C	3.39E+02
YML111W	3.39E+02
YNL325C	3.39E+02
YNR061C	3.39E+02
YOR023C	3.39E+02
YPR008W	3.39E+02
YPR119W	3.39E+02
YDL146W	3.29E+02
YDL222C	3.29E+02
YLR105C	3.19E+02
YBR156C	3.19E+02
YDL077C	3.19E+02
YDR421W	3.19E+02
YDR452W	3.19E+02
YEL062W	3.19E+02
YER024W	3.19E+02
YGL156W	3.19E+02
YGR088W	3.19E+02
YGR232W	3.19E+02
YHR138C	3.19E+02
YIL173W	3.19E+02
YJL110C	3.19E+02
YJL131C	3.19E+02
YKR020W	3.19E+02
YKR044W	3.19E+02
YLR071C	3.19E+02
YLR310C	3.19E+02
YLR381W	3.19E+02
YMR167W	3.19E+02
YMR199W	3.19E+02
YNL309W	3.19E+02
YOR025W	3.19E+02
YPL179W	3.19E+02
YDL220C	3.19E+02
YMR016C	3.14E+02
YOR195W	3.14E+02
YAL024C	3.04E+02
YCL029C	3.00E+02
YDR251W	3.00E+02
YDR386W	3.00E+02
YDR503C	3.00E+02
YEL041W	3.00E+02
YER047C	3.00E+02
YER084W	3.00E+02
YER144C	3.00E+02
YFR054C	3.00E+02
YGL208W	3.00E+02
YGR108W	3.00E+02
YIR033W	3.00E+02
YJL207C	3.00E+02
YJR134C	3.00E+02
YKL173W	3.00E+02
YLL031C	3.00E+02
YLR026C	3.00E+02
YMR024W	3.00E+02
YNL136W	3.00E+02
YOR014W	3.00E+02
YOR256C	3.00E+02
YOR267C	3.00E+02
YOR296W	3.00E+02
YOR327C	3.00E+02
YPR115W	3.00E+02
YOR322C	2.95E+02
YJR119C	2.90E+02
YLR183C	2.84E+02
YNL183C	2.84E+02
YBL059C-A	2.79E+02
YBL102W	2.79E+02
YBL111C	2.79E+02
YBR043C	2.79E+02
YBR097W	2.79E+02
YDL238C	2.79E+02
YDR122W	2.79E+02
YDR283C	2.79E+02
YDR356W	2.79E+02
YDR393W	2.79E+02
YDR493W	2.79E+02
YGL130W	2.79E+02
YGL229C	2.79E+02
YGR269W	2.79E+02
YHR178W	2.79E+02
YIL056W	2.79E+02
YJL042W	2.79E+02
YJL222W	2.79E+02
YJR138W	2.79E+02
YKR083C	2.79E+02
YMR160W	2.79E+02
YMR273C	2.79E+02
YNR019W	2.79E+02
YPL242C	2.79E+02
YPR046W	2.79E+02
YPR095C	2.79E+02
YLL021W	2.74E+02
YLR135W	2.74E+02
YBL031W	2.64E+02
YAL046C	2.59E+02
YAL055W	2.59E+02
YAR031W	2.59E+02
YDL045W-A	2.59E+02
YDR179W-A	2.59E+02
YDR291W	2.59E+02
YDR407C	2.59E+02
YDR505C	2.59E+02
YDR528W	2.59E+02
YER104W	2.59E+02
YGR056W	2.59E+02
YHL007C	2.59E+02
YHR012W	2.59E+02
YHR079C	2.59E+02
YIL159W	2.59E+02
YJL062W	2.59E+02
YKL064W	2.59E+02
YKL137W	2.59E+02
YLR403W	2.59E+02
YML061C	2.59E+02
YMR107W	2.59E+02
YMR137C	2.59E+02
YMR176W	2.59E+02
YMR283C	2.59E+02
YNL081C	2.59E+02
YNL107W	2.59E+02
YNL320W	2.59E+02
YNL321W	2.59E+02
YOL096C	2.59E+02
YOR249C	2.59E+02
YOR324C	2.59E+02
YPL074W	2.59E+02
YPL075W	2.59E+02
YPL193W	2.59E+02
YPR037C	2.59E+02
YDR379W	2.54E+02
YPL180W	2.43E+02
YAL044W-A	2.38E+02
YAR019C	2.38E+02
YBR201W	2.38E+02
YBR215W	2.38E+02
YBR229C	2.38E+02
YDR004W	2.38E+02
YDR522C	2.38E+02
YEL061C	2.38E+02
YGR004W	2.38E+02
YGR016W	2.38E+02
YIR018W	2.38E+02
YJL004C	2.38E+02
YJL157C	2.38E+02
YKL141W	2.38E+02
YLR085C	2.38E+02
YLR151C	2.38E+02
YLR422W	2.38E+02
YMR111C	2.38E+02
YNL143C	2.38E+02
YNR036C	2.38E+02
YOL089C	2.38E+02
YOL113W	2.38E+02
YOR047C	2.38E+02
YOR320C	2.38E+02
YPL158C	2.38E+02
YPL174C	2.38E+02
YPL194W	2.38E+02
YPR022C	2.38E+02
YPR065W	2.38E+02
YBL014C	2.37E+02
YDL091C	2.33E+02
YOR076C	2.33E+02
YAL031C	2.27E+02
YML006C	2.22E+02
YMR247C	2.22E+02
YAL022C	2.17E+02
YBR271W	2.17E+02
YBR289W	2.17E+02
YDR207C	2.17E+02
YER087C-A	2.17E+02
YGL134W	2.17E+02
YIL046W	2.17E+02
YJL168C	2.17E+02
YJR142W	2.17E+02
YKR041W	2.17E+02
YLR035C-A	2.17E+02
YML016C	2.17E+02
YMR290W-A	2.17E+02
YNL091W	2.17E+02
YNR031C	2.17E+02
YOR290C	2.17E+02
YPR167C	2.17E+02
YKL072W	2.11E+02
YCR066W	2.06E+02
YIL129C	2.06E+02
YLR001C	2.06E+02
YOR070C	2.06E+02
YIR008C	1.97E+02
YBR062C	1.95E+02
YBR138C	1.95E+02
YBR161W	1.95E+02
YCR020C	1.95E+02
YDL109C	1.95E+02
YDR115W	1.95E+02
YDR186C	1.95E+02
YDR313C	1.95E+02
YDR338C	1.95E+02
YDR511W	1.95E+02
YER037W	1.95E+02
YFL060C	1.95E+02
YGR046W	1.95E+02
YIL001W	1.95E+02
YIL088C	1.95E+02
YIL101C	1.95E+02
YIL108W	1.95E+02
YJL149W	1.95E+02
YKL038W	1.95E+02
YKR054C	1.95E+02
YKR089C	1.95E+02
YKR096W	1.95E+02
YLR419W	1.95E+02
YMR032W	1.95E+02
YMR267W	1.95E+02
YNL086W	1.95E+02
YNL234W	1.95E+02
YNL275W	1.95E+02
YOL025W	1.95E+02
YOL055C	1.95E+02
YOR227W	1.95E+02
YPR013C	1.95E+02
YDR436W	1.89E+02
YHR168W	1.89E+02
YLR108C	1.89E+02
YOR368W	1.89E+02
YBL104C	1.84E+02
YJL162C	1.84E+02
YLR142W	1.84E+02
YNL172W	1.78E+02
YNL293W	1.78E+02
YPL103C	1.78E+02
YDR089W	1.72E+02
YDR132C	1.72E+02
YDR143C	1.72E+02
YDR332W	1.72E+02
YDR478W	1.72E+02
YDR540C	1.72E+02
YGL159W	1.72E+02
YGR003W	1.72E+02
YGR102C	1.72E+02
YGR270W	1.72E+02
YHL013C	1.72E+02
YHR074W	1.72E+02
YHR113W	1.72E+02
YHR119W	1.72E+02
YHR131C	1.72E+02
YIL091C	1.72E+02
YJL017W	1.72E+02
YJL094C	1.72E+02
YJR149W	1.72E+02
YLR330W	1.72E+02
YMR169C	1.72E+02
YMR252C	1.72E+02
YNR006W	1.72E+02
YNR011C	1.72E+02
YOR188W	1.72E+02
YPR031W	1.72E+02
YFR005C	1.67E+02
YBL005W	1.66E+02
YBR202W	1.66E+02
YIL172C	1.66E+02
YMR124W	1.66E+02
YNL271C	1.66E+02
YPL248C	1.66E+02
YFR007W	1.61E+02
YDR239C	1.55E+02
YKL129C	1.55E+02
YOL047C	1.55E+02
YOR020C	1.49E+02
YBR117C	1.49E+02
YBR125C	1.49E+02
YBR195C	1.49E+02
YCL005W	1.49E+02
YDL164C	1.49E+02
YDR310C	1.49E+02
YDR349C	1.49E+02
YDR409W	1.49E+02
YEL043W	1.49E+02
YFR019W	1.49E+02
YGL117W	1.49E+02
YHR173C	1.49E+02
YJL144W	1.49E+02
YJR033C	1.49E+02
YJR078W	1.49E+02
YKL048C	1.49E+02
YKR064W	1.49E+02
YLR450W	1.49E+02
YMR172W	1.49E+02
YMR234W	1.49E+02
YOR208W	1.49E+02
YPL209C	1.49E+02
YPR185W	1.49E+02
YDR125C	1.43E+02
YLR247C	1.43E+02
YOR233W	1.43E+02
YKL125W	1.38E+02
YKL073W	1.37E+02
YER041W	1.31E+02
YLR219W	1.31E+02
YGL256W	1.25E+02
YAL001C	1.25E+02
YBL067C	1.25E+02
YBR107C	1.25E+02
YDR514C	1.25E+02
YEL070W	1.25E+02
YER054C	1.25E+02
YGL113W	1.25E+02
YGL247W	1.25E+02
YKL139W	1.25E+02
YLL027W	1.25E+02
YLL040C	1.25E+02
YLR352W	1.25E+02
YLR430W	1.25E+02
YLR451W	1.25E+02
YMR037C	1.25E+02
YMR100W	1.25E+02
YMR262W	1.25E+02
YNL014W	1.25E+02
YNL077W	1.25E+02
YOL022C	1.25E+02
YOL043C	1.25E+02
YOL063C	1.25E+02
YOL159C-A	1.25E+02
YOR172W	1.25E+02
YPR184W	1.25E+02
YJL071W	1.12E+02
YJL095W	1.12E+02
YJR126C	1.12E+02
YIL084C	1.05E+02
YIL092W	1.05E+02
YKL145W	1.05E+02
YML109W	1.05E+02
YDL203C	9.89E+01
YER039C-A	9.89E+01
YER098W	9.89E+01
YGL006W	9.89E+01
YHR015W	9.89E+01
YIL002C	9.89E+01
YKL075C	9.89E+01
YLR210W	9.89E+01
YMR019W	9.89E+01
YMR198W	9.89E+01
YPL008W	9.89E+01
YAL051W	9.23E+01
YPL016W	9.23E+01
YBR239C	8.55E+01
YPR049C	8.55E+01
YHR166C	7.97E+01
YMR220W	7.97E+01
YDR314C	7.86E+01
YLR039C	7.86E+01
YLR228C	7.86E+01
YLR035C	7.16E+01
YLR057W	7.16E+01
YNR067C	6.43E+01
YBL063W	5.69E+01
YCR073C	5.69E+01
YGR221C	5.69E+01
YJL100W	5.69E+01
YNL126W	5.69E+01
YJL084C	4.92E+01
YKR031C	4.92E+01
YLR024C	4.92E+01
YOR093C	4.11E+01
