ORF	Protein_abundance
YER089C	1.26E+04
YML013W	1.26E+04
YNL010W	1.26E+04
YGL062W	1.25E+04
YHL029C	1.25E+04
YJL151C	1.25E+04
YJL158C	1.25E+04
YJL050W	1.25E+04
YHR051W	1.25E+04
YDR427W	1.24E+04
YLR386W	1.24E+04
YMR307W	1.24E+04
YML124C	1.23E+04
YBR162C	1.23E+04
YLR421C	1.22E+04
YHR098C	1.22E+04
YOL097C	1.21E+04
YGL097W	1.21E+04
YER072W	1.21E+04
YMR189W	1.20E+04
YNR018W	1.20E+04
YMR038C	1.20E+04
YOR362C	1.20E+04
YPR189W	1.19E+04
YHR170W	1.19E+04
YJL002C	1.19E+04
YDL184C	1.19E+04
YER086W	1.19E+04
YBR248C	1.18E+04
YIL148W	1.18E+04
YPL210C	1.18E+04
YLR002C	1.17E+04
YAL036C	1.17E+04
YLL036C	1.17E+04
YDR055W	1.17E+04
YGL115W	1.17E+04
YGL173C	1.17E+04
YJL192C	1.17E+04
YKL181W	1.17E+04
YML103C	1.17E+04
YNR051C	1.17E+04
YOL030W	1.17E+04
YMR083W	1.16E+04
YDR190C	1.16E+04
YGR210C	1.16E+04
YGL040C	1.16E+04
YMR089C	1.15E+04
YKR043C	1.15E+04
YBR084W	1.14E+04
YJL186W	1.14E+04
YOR157C	1.14E+04
YDL178W	1.14E+04
YKL040C	1.13E+04
YKR088C	1.13E+04
YMR125W	1.13E+04
YPR125W	1.13E+04
YBL035C	1.12E+04
YML022W	1.12E+04
YJL098W	1.12E+04
YNL206C	1.11E+04
YMR092C	1.11E+04
YIL138C	1.11E+04
YDR098C	1.10E+04
YJL130C	1.10E+04
YHR008C	1.09E+04
YBR126C	1.09E+04
YEL037C	1.09E+04
YBR227C	1.09E+04
YOR051C	1.08E+04
YPL135W	1.08E+04
YDL005C	1.08E+04
YDL174C	1.08E+04
YMR295C	1.08E+04
YGR095C	1.08E+04
YHR190W	1.08E+04
YDR508C	1.06E+04
YDR516C	1.06E+04
YGR118W	1.06E+04
YLR384C	1.05E+04
YMR305C	1.05E+04
YNL037C	1.05E+04
YKL029C	1.05E+04
YDR300C	1.04E+04
YKL148C	1.04E+04
YOR147W	1.04E+04
YNL207W	1.03E+04
