ID	Protein_copy_number	mRNA_copy_number	Protein_half-life_h	mRNA_half-life_h
ENSMUST00000111192	85648.16	69.63	23.65	10.99
ENSMUST00000111193	85648.16	69.63	23.65	10.99
ENSMUST00000005233	253.09	7	58.92	10.1
ENSMUST00000102527	253.09	7	58.92	10.1
ENSMUST00000110875	253.09	7	58.92	10.1
ENSMUST00000110874	253.09	7	58.92	10.1
ENSMUST00000005234	277697.09	149.2	63.03	12.34
ENSMUST00000005256	29889.59	12.57	102.28	7.62
ENSMUST00000005292	590226.39	98.11	249.06	12.56
ENSMUST00000109733	590226.39	98.11	249.06	12.56
ENSMUST00000109734	590226.39	98.11	249.06	12.56
ENSMUST00000005336	2948.79	39.38	20.07	8.44
ENSMUST00000066760	2948.79	39.38	20.07	8.44
ENSMUST00000005365	9294.72	7.81	13.78	5.24
ENSMUST00000112319	9294.72	7.81	13.78	5.24
ENSMUST00000112320	9294.72	7.81	13.78	5.24
ENSMUST00000005394	77907.95	20	38.04	6.92
ENSMUST00000115578	77907.95	20	38.04	6.92
ENSMUST00000005431	28101.12	19.51	154.95	20.61
ENSMUST00000005487	79734.35	121.7	50.17	13.07
ENSMUST00000109748	79734.35	121.7	50.17	13.07
ENSMUST00000005503	20593.98	NA	34.73	7.16
ENSMUST00000005508	14254.56	7.89	69.49	7.52
ENSMUST00000005512	8071.32	19.7	11.77	10.27
ENSMUST00000085984	8071.32	19.7	11.77	10.27
ENSMUST00000071677	8071.32	19.7	11.77	10.27
ENSMUST00000005545	112549.31	53.99	69.56	13.8
ENSMUST00000005548	97878.68	24.43	16.88	5.41
ENSMUST00000005583	100652.19	30.42	176.33	14.69
ENSMUST00000005600	1013.28	5.96	17.65	8.3
ENSMUST00000005606	147289.99	24.13	100.47	13.06
ENSMUST00000059266	147289.99	24.13	100.47	13.06
ENSMUST00000005607	37633.8	20.98	8.69	6.74
ENSMUST00000005620	59062.92	17.7	45.38	5.39
ENSMUST00000005643	28855.25	29.85	42.18	7.4
ENSMUST00000068747	28855.25	29.85	42.18	7.4
ENSMUST00000111449	28855.25	29.85	42.18	7.4
ENSMUST00000111452	28855.25	29.85	42.18	7.4
ENSMUST00000111455	28855.25	29.85	42.18	7.4
ENSMUST00000005647	74740.82	23.63	72.98	12.13
ENSMUST00000005651	147964.35	54.86	93.99	12.84
ENSMUST00000122113	147964.35	54.86	93.99	12.84
ENSMUST00000005705	123129.32	70.27	70.83	11.43
ENSMUST00000005711	79875.83	64.3	23.4	13.36
ENSMUST00000005714	178654.23	76.76	41.81	11.61
ENSMUST00000005749	11099.71	18.26	44.54	9.82
ENSMUST00000098103	11099.71	18.26	44.54	9.82
ENSMUST00000005750	66543.76	114.76	42.1	18.77
ENSMUST00000106666	66543.76	114.76	42.1	18.77
ENSMUST00000005798	40836.3	27.72	81.13	9.14
ENSMUST00000005810	56263.11	56.98	16.91	7.08
ENSMUST00000005826	654797.75	80.96	317.08	18.48
ENSMUST00000005829	11883.82	12.05	76.78	8.06
ENSMUST00000005830	88084.29	29.11	74.28	10.3
ENSMUST00000005841	1930.01	16.11	46.95	6.34
ENSMUST00000005923	459005.57	213.44	126.39	15.01
ENSMUST00000005953	2080.07	2.87	10.55	14.76
ENSMUST00000110506	2080.07	2.87	10.55	14.76
ENSMUST00000005954	13629.49	5.68	109.36	9.33
ENSMUST00000005964	104590.16	46.94	238.77	12.38
ENSMUST00000006027	233727.22	16.91	120.31	25.21
ENSMUST00000006035	7861.54	60.79	41.31	17.35
ENSMUST00000088650	7861.54	60.79	41.31	17.35
ENSMUST00000006037	363.75	5.1	16.18	6.87
ENSMUST00000068304	363.75	5.1	16.18	6.87
ENSMUST00000081713	363.75	5.1	16.18	6.87
ENSMUST00000006053	6814.98	11.42	36.43	8.53
ENSMUST00000090159	6814.98	11.42	36.43	8.53
ENSMUST00000006061	128.41	5.46	27.14	6.43
ENSMUST00000121291	128.41	5.46	27.14	6.43
ENSMUST00000006128	63945.2	33.31	54.98	19.84
ENSMUST00000006137	39814.35	22.48	103.54	11.63
ENSMUST00000006181	88285.78	27.07	32.68	10.98
ENSMUST00000006205	712.74	5.77	22.28	7.07
ENSMUST00000115692	712.74	5.77	22.28	7.07
