"Ensembl_TransID","Probe"
"ENSMUST00000007747",10446172
"ENSMUST00000007757",10504817
"ENSMUST00000007797",10375245
"ENSMUST00000007800",10587104
"ENSMUST00000007814",10452228
"ENSMUST00000007865",10579437
"ENSMUST00000007980",10409643
"ENSMUST00000007993",10543551
"ENSMUST00000008016",10509163
"ENSMUST00000008021",10380887
"ENSMUST00000008032",10572398
"ENSMUST00000008036",10594248
"ENSMUST00000008051",10522908
"ENSMUST00000008052",10587241
"ENSMUST00000008088",10551401
"ENSMUST00000008090",10555570
"ENSMUST00000008094",10579500
"ENSMUST00000008131",10526502
"ENSMUST00000008280",10354247
"ENSMUST00000008297",10547719
"ENSMUST00000008350",10569972
"ENSMUST00000008445",10455801
"ENSMUST00000008462",10565924
"ENSMUST00000008477",10476620
"ENSMUST00000008517",10549552
"ENSMUST00000008528",10551359
"ENSMUST00000008537",10437590
"ENSMUST00000008542",10371959
"ENSMUST00000008573",10591869
"ENSMUST00000008582",10401330
"ENSMUST00000008594",10574899
"ENSMUST00000008605",10553027
"ENSMUST00000008626",10448731
"ENSMUST00000008684",10542470
"ENSMUST00000008733",10520445
"ENSMUST00000008734",10593245
"ENSMUST00000008745",10499412
"ENSMUST00000008748",10493247
"ENSMUST00000008830",10443940
"ENSMUST00000008878",10567355
"ENSMUST00000008893",10460359
"ENSMUST00000008907",10500614
"ENSMUST00000008957",10414618
"ENSMUST00000008987",10534389
"ENSMUST00000008991",10460423
"ENSMUST00000009003",10407907
"ENSMUST00000009018",10575702
"ENSMUST00000009058",10519555
"ENSMUST00000009099",10398972
"ENSMUST00000009120",10436678
"ENSMUST00000009138",10449527
"ENSMUST00000009143",10490129
"ENSMUST00000009157",10532984
"ENSMUST00000009191",10436750
"ENSMUST00000009219",10383891
"ENSMUST00000009220",10373944
"ENSMUST00000009234",10373986
"ENSMUST00000009236",10364093
"ENSMUST00000009241",10438347
"ENSMUST00000009256",10541279
"ENSMUST00000009259",10364217
"ENSMUST00000009329",10379535
"ENSMUST00000009358",10481175
"ENSMUST00000009390",10569399
"ENSMUST00000009392",10569385
"ENSMUST00000009411",10537934
"ENSMUST00000009425",10544573
"ENSMUST00000009435",10364280
"ENSMUST00000009522",10467153
"ENSMUST00000009550",10603870
"ENSMUST00000009617",10501098
"ENSMUST00000009667",10563527
"ENSMUST00000009679",10456501
"ENSMUST00000009689",10559276
"ENSMUST00000009693",10486107
"ENSMUST00000009705",10471486
"ENSMUST00000009727",10425335
"ENSMUST00000009732",10393373
"ENSMUST00000009740",10606674
"ENSMUST00000009772",10571252
"ENSMUST00000009774",10571266
"ENSMUST00000009777",10361246
"ENSMUST00000009789",10363350
"ENSMUST00000009790",10363372
"ENSMUST00000009798",10369264
"ENSMUST00000009875",10598448
"ENSMUST00000009877",10432601
"ENSMUST00000010038",10386388
"ENSMUST00000010044",10386376
"ENSMUST00000010049",10357051
"ENSMUST00000010085",10606746
"ENSMUST00000010127",10600326
"ENSMUST00000010188",10588655
"ENSMUST00000010189",10588638
"ENSMUST00000010192",10588707
"ENSMUST00000010195",10588691
"ENSMUST00000010198",10588678
"ENSMUST00000010250",10461130
"ENSMUST00000010251",10461115
"ENSMUST00000010279",10495097
"ENSMUST00000010280",10500999
"ENSMUST00000010286",10376755
"ENSMUST00000010298",10576288
"ENSMUST00000010421",10379075
"ENSMUST00000010434",10345904
"ENSMUST00000010451",10553324
"ENSMUST00000010502",10381408
"ENSMUST00000010506",10381462
"ENSMUST00000010520",10420089
"ENSMUST00000010536",10388579
"ENSMUST00000010550",10338395
"ENSMUST00000010579",10570191
"ENSMUST00000010597",10353849
"ENSMUST00000010673",10402705
"ENSMUST00000010736",10451721
"ENSMUST00000010795",10597592
"ENSMUST00000010804",10597575
"ENSMUST00000010807",10461439
"ENSMUST00000010899",10569458
"ENSMUST00000010904",10569437
"ENSMUST00000010941",10543253
"ENSMUST00000010974",10425287
"ENSMUST00000010985",10381506
"ENSMUST00000011029",10497754
"ENSMUST00000011055",10474159
"ENSMUST00000011058",10485429
"ENSMUST00000011152",10496771
"ENSMUST00000011178",10521038
"ENSMUST00000011262",10592355
"ENSMUST00000011302",10402841
"ENSMUST00000011315",10399046
"ENSMUST00000011398",10385375
"ENSMUST00000011400",10375402
"ENSMUST00000011445",10576807
"ENSMUST00000011450",10572253
"ENSMUST00000011492",10491526
"ENSMUST00000011493",10551011
"ENSMUST00000011526",10563314
"ENSMUST00000011607",10497463
"ENSMUST00000011623",10452269
"ENSMUST00000011733",10446001
"ENSMUST00000011776",10560862
"ENSMUST00000011895",10561266
"ENSMUST00000011896",10463168
"ENSMUST00000011981",10569953
"ENSMUST00000012028",10532857
"ENSMUST00000012161",10434105
"ENSMUST00000012186",10502395
"ENSMUST00000012259",10438198
"ENSMUST00000012279",10438256
"ENSMUST00000012281",10587231
"ENSMUST00000012348",10501222
"ENSMUST00000012426",10454701
"ENSMUST00000012540",10541524
"ENSMUST00000012587",10462796
"ENSMUST00000012664",10530306
"ENSMUST00000012679",10543650
