CycID,ARS_pvalue,ARS_BH.Q,ARS_period,ARS_adjphase,ARS_amplitude,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,7171,7184,7197,7210,7223,7236,7249,7262,7275,7288,7301,7314,7327,7340,7353,7366,7379,7392,7405,7418
YMR069W,0.000943072,0.002634763,9,7.940162869,1.474244448,8.25E-05,0.000261476,10,7.5,0.987297843,0.038277757,0.074848319,9.493562232,7.89554893,3.016830391,6.35E-07,1.70E-06,9.497854077,7.803577512,2.06853254,1.623759069,0.784981158,1.304,0.377,1.237,1.648,1.652,2.135,1.728,5.498,3.065,1.996,1.286,0.774,0.892,1.015,1.605,2.563,5.542,3.578,2.28,0.851
YLR258W,0.003089232,0.006027242,9,3.74282266,50.28094025,1.78E-05,7.54E-05,11,2.5,39.57004903,0.015848401,0.048057888,10.14678899,2.828822262,144.314707,2.08E-07,6.29E-07,10.04892966,3.070074427,95.93966953,61.43537185,0.640354216,108.792,194.865,166.659,92.517,92.83,99.388,90.361,21.967,57.768,61.724,82.864,169.709,216.81,125.758,87.947,77.38,39.411,27.468,42.408,62.575
YBL085W,0.001218053,0.003132137,9,1.008237487,7.405372425,0.470082676,0.561574049,10,0,8.866588706,0.04736479,0.085810237,9.919282511,0.140754348,43.92470292,0.001811648,0.002823025,9.639760837,0.400162426,38.12161078,7.867262458,0.206372771,49.26,32.498,31.205,33.274,35.752,31.62,28.843,34.539,50.129,51.304,47.991,33.033,36.456,32.16,34.51,35.627,31.71,45.089,47.206,45.688
YMR288W,2.96E-07,0.000206247,9,8.718612207,5.277544901,5.78E-06,3.30E-05,9,0,5.272188161,0.002433898,0.045989133,9.493562232,8.318936698,20.48579531,2.43E-12,3.55E-10,9.164520744,8.695813282,16.62267877,5.706983229,0.343325123,18.89,12.151,11.094,12.188,13.953,15.433,17.723,21.822,23.031,20.946,18.623,12.315,10.866,11.043,13.938,17.871,22.719,22.193,20.826,17.844
YHR176W,0.000179944,0.000964892,9,1.108986691,35.11161186,3.02E-05,0.000114273,10,9.5,32.5932032,0.010127381,0.045989133,10.38497653,9.989655602,87.13067899,1.67E-08,7.48E-08,9.794992175,0.09046752,56.27337695,39.59987696,0.70370536,67.22,38.787,21.103,24.813,31.214,29.373,39.2,55.794,81.6,124.191,100.739,65.823,25.384,21.617,28.052,38.28,52.749,50.39,124.686,119.66
YOR327C,0.000322269,0.001365138,9,5.983757234,37.14537605,0.002481871,0.005024315,11,5,42.9146641,0.023968059,0.056614911,9.919282511,5.017466787,231.077612,3.39E-06,7.73E-06,9.97309417,5.374204486,211.6237972,40.58687326,0.191787851,171.997,194.149,203.709,256.671,236.013,244.211,275.08,203.685,169.204,157.758,197.305,225.745,207.28,209.359,223.607,272.819,245.092,204.396,171.074,161.11
YNR027W,0.003196318,0.006188958,9,7.928538,13.01910431,1.71E-06,1.37E-05,10,8,9.149608195,0.061318466,0.102834083,9.493562232,7.870053064,29.9365436,8.76E-08,2.94E-07,9.497854077,7.945548701,23.0575489,14.2521791,0.618113363,14.855,8.551,13.537,17.268,19.482,19.31,28.454,44.069,26.914,25.407,15.108,9.144,8.822,18.601,19.344,23.051,69.305,32.708,24.352,21.169
YJR100C,0.000168889,0.000931467,9,1.516109199,17.27094424,0.010149438,0.017563364,10,0.5,19.63388044,0.010299516,0.045989133,10.14678899,0.027700828,71.30908118,3.15E-06,7.24E-06,9.71559633,0.705331433,58.46942807,19.01503416,0.325213274,82.772,74.855,45.213,44.045,48.259,48.3,47.799,44.183,72.461,85.675,76.748,71.209,52.869,45.028,45.438,52.143,38.199,48.344,76.046,80.733
YCR060W,0.33531651,0.371846927,9,0.452483258,3.359137809,1,1,13,9.5,6.894291117,0.640577758,0.68955915,4.073664825,1.834831016,39.27919737,0.79923283,0.844062476,8.691221608,6.084299601,36.49142768,2.730679881,0.074830722,28.247,27.938,28.222,43.011,25.832,31.259,28.61,50.452,34.822,36.924,38.594,45.522,26.363,30.191,34.496,40.906,48.42,43.93,39.378,52.967
YLR130C,0.000915417,0.002590516,9,8.410434029,12.12371506,1.78E-05,7.54E-05,11,8,9.496090518,0.016946499,0.048880457,9.919282511,8.099572323,54.58691147,7.32E-08,2.52E-07,9.97309417,8.231305586,43.39405485,14.11590783,0.325295893,36.256,28.761,34.633,37.376,34.806,38.527,45.966,75.209,57.271,50.021,39.453,31.524,31.476,36.194,38.118,37.619,60.428,57.869,50.477,46.006
