ID	Translation_number	Protein_halflive	mRNA_halflive
ENSMUST00000021562	1287.898891	36.25	4.66
ENSMUST00000110354	1287.898891	36.25	4.66
ENSMUST00000054960	750.1119067	21.44	4.67
ENSMUST00000072079	1661.618005	33.29	4.67
ENSMUST00000025106	1653.505415	41.62	4.67
ENSMUST00000047028	4317.653761	54.74	4.67
ENSMUST00000093969	22.51903808	56.09	4.67
ENSMUST00000060433	750.1119067	65.82	4.67
ENSMUST00000028972	284.7942122	16.85	4.68
ENSMUST00000023524	2762.723077	92.76	4.68
ENSMUST00000030003	434.0957599	47.94	4.69
ENSMUST00000115550	995.4598291	59.03	4.69
ENSMUST00000091920	995.4598291	59.03	4.69
ENSMUST00000046972	995.4598291	59.03	4.69
ENSMUST00000013559	8349.383562	157.16	4.69
ENSMUST00000090680	744.5981767	27.36	4.7
ENSMUST00000053501	744.5981767	27.36	4.7
ENSMUST00000024627	469.9748201	27.49	4.71
ENSMUST00000094281	127.3617512	44.83	4.71
ENSMUST00000087908	127.3617512	44.83	4.71
ENSMUST00000044638	127.3617512	44.83	4.71
ENSMUST00000024840	242.6825806	20.02	4.72
ENSMUST00000112687	242.6825806	20.02	4.72
ENSMUST00000026416	750.1119067	46.9	4.72
ENSMUST00000026415	750.1119067	46.9	4.72
ENSMUST00000020877	270.8864078	24.2	4.73
ENSMUST00000049064	8228.644706	57.72	4.73
ENSMUST00000021030	169.1802749	785.94	4.73
ENSMUST00000009713	54.49140049	29.85	4.74
ENSMUST00000070761	2786.640152	33.7	4.74
ENSMUST00000022227	2786.640152	33.7	4.74
ENSMUST00000099187	2786.640152	33.7	4.74
ENSMUST00000021572	1096.89415	119.85	4.74
ENSMUST00000054251	1096.89415	119.85	4.74
ENSMUST00000084299	110.2608696	10.46	4.75
ENSMUST00000020316	184.4769568	11.18	4.75
ENSMUST00000056677	409.4909502	27.55	4.75
ENSMUST00000055261	4129.983343	16.13	4.76
ENSMUST00000038658	4129.983343	16.13	4.76
ENSMUST00000101245	4129.983343	16.13	4.76
ENSMUST00000034377	317.0230643	34.8	4.76
ENSMUST00000038709	750.1119067	227.49	4.76
ENSMUST00000106115	750.1119067	227.49	4.76
ENSMUST00000012440	54.81557971	16.14	4.77
ENSMUST00000113028	210.0371025	26.25	4.77
ENSMUST00000061904	210.0371025	26.25	4.77
ENSMUST00000055213	469.0274859	35.62	4.77
ENSMUST00000035094	750.1119067	194.68	4.77
ENSMUST00000066039	649.2962329	15.05	4.78
ENSMUST00000102494	265.5339367	15.81	4.78
ENSMUST00000047436	2941.365562	149.15	4.78
ENSMUST00000095579	2941.365562	149.15	4.78
ENSMUST00000102497	2628.977778	37.89	4.79
ENSMUST00000102496	2628.977778	37.89	4.79
ENSMUST00000102499	2628.977778	37.89	4.79
ENSMUST00000102498	2628.977778	37.89	4.79
ENSMUST00000090011	2628.977778	37.89	4.79
ENSMUST00000039571	229.6422088	58.12	4.79
ENSMUST00000089937	2290.814059	572.89	4.79
ENSMUST00000110836	99.025	10.38	4.8
ENSMUST00000018287	99.025	10.38	4.8
ENSMUST00000099396	1049.8202	47.39	4.8
ENSMUST00000026735	1252.137255	75.9	4.8
ENSMUST00000049151	750.1119067	112.92	4.8
ENSMUST00000118100	28.26150393	10.35	4.81
ENSMUST00000118340	28.26150393	10.35	4.81
ENSMUST00000113669	466.4707419	21.22	4.81
ENSMUST00000049519	4355.438861	65.14	4.81
ENSMUST00000097271	4355.438861	65.14	4.81
ENSMUST00000021406	563.2767442	577.61	4.81
ENSMUST00000018625	26.8645617	5.17	4.82
ENSMUST00000095383	1521.142647	37.07	4.82
ENSMUST00000001116	218.0410765	38.39	4.82
ENSMUST00000105849	218.0410765	38.39	4.82
ENSMUST00000053959	571.641791	43.7	4.83
ENSMUST00000103180	750.1119067	119.43	4.83
ENSMUST00000098651	95.8285124	6.86	4.84
ENSMUST00000114689	16.35076531	13.49	4.84
ENSMUST00000002095	16.35076531	13.49	4.84
ENSMUST00000044068	121.0962851	16.07	4.84
ENSMUST00000043560	26.66134629	21.88	4.84
ENSMUST00000111836	26.66134629	21.88	4.84
ENSMUST00000073441	26.66134629	21.88	4.84
ENSMUST00000106296	750.1119067	31.31	4.84
ENSMUST00000092382	750.1119067	31.31	4.84
ENSMUST00000075856	294.6272246	13.44	4.85
ENSMUST00000047898	294.6272246	13.44	4.85
ENSMUST00000035766	680.2075472	27.4	4.85
ENSMUST00000101670	680.2075472	27.4	4.85
ENSMUST00000089230	3547.20587	81.84	4.85
ENSMUST00000063531	234.4199744	189.49	4.85
ENSMUST00000097921	234.4199744	189.49	4.85
ENSMUST00000059619	537.07911	18.13	4.86
ENSMUST00000092316	440.3546945	107.96	4.86
ENSMUST00000042771	440.3546945	107.96	4.86
ENSMUST00000017384	36.64176663	9.41	4.87
ENSMUST00000084249	215.9415632	30.32	4.87
ENSMUST00000102568	215.9415632	30.32	4.87
ENSMUST00000084170	215.9415632	30.32	4.87
ENSMUST00000020683	470.464455	43.43	4.88
ENSMUST00000032585	1277.009639	131.04	4.88
ENSMUST00000108527	179.3192721	13.78	4.89
ENSMUST00000049048	179.3192721	13.78	4.89
ENSMUST00000030315	606.0223881	23.55	4.89
ENSMUST00000105992	606.0223881	23.55	4.89
ENSMUST00000097863	606.0223881	23.55	4.89
ENSMUST00000107537	1336.273852	37.87	4.89
ENSMUST00000085231	1336.273852	37.87	4.89
ENSMUST00000108346	2175.20073	39.47	4.89
ENSMUST00000108345	2175.20073	39.47	4.89
ENSMUST00000076559	2175.20073	39.47	4.89
ENSMUST00000095313	784.8502639	45.56	4.91
ENSMUST00000105277	784.8502639	45.56	4.91
ENSMUST00000030451	970.8680702	74.1	4.91
ENSMUST00000034905	250.8306075	200.14	4.91
ENSMUST00000102621	1325.158659	10.96	4.92
ENSMUST00000096239	15.22627119	12.54	4.92
ENSMUST00000092462	62.68067227	40.47	4.93
ENSMUST00000040580	46.36950549	7.96	4.94
ENSMUST00000103056	110.5766219	20.32	4.94
ENSMUST00000087517	110.5766219	20.32	4.94
ENSMUST00000115429	2092.298893	54.15	4.94
ENSMUST00000064067	750.1119067	79.28	4.94
ENSMUST00000034713	266.490508	7.36	4.95
ENSMUST00000070068	266.490508	7.36	4.95
